enzymeID	genus	sum	sd	percentage_genus
AA4	Bacillus	2	0	0.0443557329784875
AA4	Bacteroides	1		0.0221778664892437
AA4	Bacteroides_B	1		0.0221778664892437
AA4	Bifidobacterium	1		0.0221778664892437
AA4	Blautia_A	27	0.276887462097269	0.598802395209581
AA4	Butyricicoccus_A	9	0.353553390593274	0.199600798403194
AA4	Butyrivibrio_A	3	0.707106781186548	0.0665335994677312
AA4	CAG-103	14	0.516397779494322	0.310490130849412
AA4	CAG-110	73	0.166633128751715	1.61898425371479
AA4	CAG-115	7	0.408248290463863	0.155245065424706
AA4	CAG-127	14	0.389249472080762	0.310490130849412
AA4	CAG-1427	4	0	0.0887114659569749
AA4	CAG-1435	2	0	0.0443557329784875
AA4	CAG-170	21	0.506369683541833	0.465735196274118
AA4	CAG-177	107	0.0971285862357264	2.37303171434908
AA4	CAG-180	2	0	0.0443557329784875
AA4	CAG-196	26	0	0.576624528720337
AA4	CAG-269	2	0	0.0443557329784875
AA4	CAG-302	1		0.0221778664892437
AA4	CAG-349	3	0	0.0665335994677312
AA4	CAG-390	2	0	0.0443557329784875
AA4	CAG-41	3	0	0.0665335994677312
AA4	CAG-45	3	0	0.0665335994677312
AA4	CAG-452	1		0.0221778664892437
AA4	CAG-475	2		0.0443557329784875
AA4	CAG-484	5	0	0.110889332446219
AA4	CAG-510	3	0.707106781186548	0.0665335994677312
AA4	CAG-533	1		0.0221778664892437
AA4	CAG-536	3	0.707106781186548	0.0665335994677312
AA4	CAG-590	3	0.707106781186548	0.0665335994677312
AA4	CAG-791	1		0.0221778664892437
AA4	CAG-83	27	0.462910049886276	0.598802395209581
AA4	CAG-841	8	0	0.17742293191395
AA4	Campylobacter	52	0	1.15324905744067
AA4	Campylobacter_D	3	0	0.0665335994677312
AA4	Centipeda	2		0.0443557329784875
AA4	Cloacibacillus	125	0.617677392315289	2.77223331115547
AA4	Clostridium	7	0.408248290463863	0.155245065424706
AA4	Clostridium_M	5	0.5	0.110889332446219
AA4	Clostridium_P	96	0.177642343612212	2.1290751829674
AA4	Clostridium_Q	1		0.0221778664892437
AA4	Collinsella	1		0.0221778664892437
AA4	Comamonas	15	0.5	0.332667997338656
AA4	Coprococcus	1		0.0221778664892437
AA4	Corynebacterium	25	0.204124145231932	0.554446662231093
AA4	Desulfovibrio	173	0.633333333333333	3.83677090263917
AA4	Dorea	66	0.471212071499161	1.46373918829009
AA4	DTU024	118	0.501233047495109	2.61698824573076
AA4	DTU078	8	0.516397779494322	0.17742293191395
AA4	Duodenibacillus	1		0.0221778664892437
AA4	Enterococcus	1		0.0221778664892437
AA4	Enterococcus_B	2	0	0.0443557329784875
AA4	Enterococcus_D	2		0.0443557329784875
AA4	Enterococcus_E	3	0.707106781186548	0.0665335994677312
AA4	Enteroscipio	1		0.0221778664892437
AA4	ER4	24	0.410391340834062	0.53226879574185
AA4	Erysipelatoclostridium	1		0.0221778664892437
AA4	Escherichia	7	0	0.155245065424706
AA4	Eubacterium	47	0.676804636604266	1.04235972499446
AA4	Eubacterium_E	12	0	0.266134397870925
AA4	Eubacterium_F	8	0	0.17742293191395
AA4	Eubacterium_H	4	0	0.0887114659569749
AA4	Eubacterium_I	2		0.0443557329784875
AA4	Eubacterium_R	6	0.447213595499958	0.133067198935462
AA4	F23-B02	81	0	1.79640718562874
AA4	Faecalibacterium	9	0.353553390593274	0.199600798403194
AA4	Faecalicatena	4	0	0.0887114659569749
AA4	Firm-11	8	0.516397779494322	0.17742293191395
AA4	Flavonifractor	9	0.487950036474267	0.199600798403194
AA4	Fournierella	2	0	0.0443557329784875
AA4	Gemmiger	10	0.534522483824849	0.221778664892437
AA4	Globicatella	1		0.0221778664892437
AA4	Helicobacter_F	6	0.577350269189626	0.133067198935462
AA4	Hungatella	8	0.516397779494322	0.17742293191395
AA4	Intestinimonas	83	0.602753422480278	1.84076291860723
AA4	ISO4-G1	1		0.0221778664892437
AA4	Jeotgalibaca	2	0	0.0443557329784875
AA4	Kurthia	7	0	0.155245065424706
AA4	Lachnospira	3	0	0.0665335994677312
AA4	Lactobacillus	153	0.258538217281372	3.39321357285429
AA4	Lactobacillus_B	1		0.0221778664892437
AA4	Lactobacillus_C	1		0.0221778664892437
AA4	Lactobacillus_F	4	0	0.0887114659569749
AA4	Lactobacillus_H	11	0.666666666666667	0.243956531381681
AA4	Lawsonibacter	8	0.516397779494322	0.17742293191395
AA4	Mailhella	1		0.0221778664892437
AA4	Marvinbryantia	3	0	0.0665335994677312
AA4	Megasphaera	613	1.22494265013674	13.5950321579064
AA4	Methanomethylophilus	94	0.502452999188424	2.08471944998891
AA4	Mitsuokella	4	0.577350269189626	0.0887114659569749
AA4	Mogibacterium	3	0	0.0665335994677312
AA4	Negativibacillus	16	0.522232967867094	0.3548458638279
AA4	Neisseria	14	0	0.310490130849412
AA4	NK3B98	1		0.0221778664892437
AA4	Oscillibacter	15	0	0.332667997338656
AA4	Oxalobacter	11	0	0.243956531381681
AA4	Parabacteroides	1		0.0221778664892437
AA4	Paraburkholderia	1		0.0221778664892437
AA4	Phascolarctobacterium	7	0.5	0.155245065424706
AA4	Phascolarctobacterium_A	1107	1.37564409434203	24.5508982035928
AA4	Phil12	1		0.0221778664892437
AA4	Polynucleobacter	39	0	0.864936793080506
AA4	Prevotella	13	0.483045891539648	0.288312264360169
AA4	Pseudoflavonifractor	9	0	0.199600798403194
AA4	Pseudoramibacter	6	0.447213595499958	0.133067198935462
AA4	Pseudoscardovia	1		0.0221778664892437
AA4	Psychrobacter	1		0.0221778664892437
AA4	Pyramidobacter	13	0.517549169506766	0.288312264360169
AA4	Romboutsia	5	0.5	0.110889332446219
AA4	Ruminiclostridium_C	54	0.194183909345154	1.19760479041916
AA4	Ruminiclostridium_E	1		0.0221778664892437
AA4	Ruminococcus	1		0.0221778664892437
AA4	Ruminococcus_A	4	0	0.0887114659569749
AA4	Ruminococcus_C	1		0.0221778664892437
AA4	Ruminococcus_E	24	0	0.53226879574185
AA4	Ruthenibacterium	8	0.516397779494322	0.17742293191395
AA4	Selenomonas_C	10	0.462910049886276	0.221778664892437
AA4	Sellimonas	2	0	0.0443557329784875
AA4	Solobacterium	1		0.0221778664892437
AA4	Stomatobaculum	7	0.547722557505166	0.155245065424706
AA4	Streptococcus	4	0	0.0887114659569749
AA4	Succiniclasticum	122	0.565012301312325	2.70569971168774
AA4	Succinivibrio	41	0	0.909292526058993
AA4	Sutterella	3	0	0.0665335994677312
AA4	Terrisporobacter	22	0	0.487913062763362
AA4	Treponema_D	61	0.129099444873581	1.35284985584387
AA4	Turicibacter	1		0.0221778664892437
AA4	Tyzzerella	3	0.707106781186548	0.0665335994677312
AA4	UBA1049	4	0	0.0887114659569749
AA4	UBA1067	17	0.25	0.377023730317144
AA4	UBA1206	3	0	0.0665335994677312
AA4	UBA1221	1		0.0221778664892437
AA4	UBA1259	1		0.0221778664892437
AA4	UBA1417	6	0.577350269189626	0.133067198935462
AA4	UBA1436	1		0.0221778664892437
AA4	UBA1777	68	0	1.50809492126857
AA4	UBA2727	1		0.0221778664892437
AA4	UBA2856	5	0	0.110889332446219
AA4	UBA2862	47	0.147441956154897	1.04235972499446
AA4	UBA2882	1		0.0221778664892437
AA4	UBA2883	5	0	0.110889332446219
AA4	UBA2912	94	0.231573204692959	2.08471944998891
AA4	UBA2943	17	0.522232967867094	0.377023730317144
AA4	UBA3789	1		0.0221778664892437
AA4	UBA5893	3	0	0.0665335994677312
AA4	UBA6857	1		0.0221778664892437
AA4	UBA6984	1		0.0221778664892437
AA4	UBA71	3		0.0665335994677312
AA4	UBA7182	1		0.0221778664892437
AA4	UBA737	39	0.229243435135126	0.864936793080506
AA4	UBA738	3	0	0.0665335994677312
AA4	UBA7703	1		0.0221778664892437
AA4	UBA7748	2	0	0.0443557329784875
AA4	VadinCA11	2		0.0443557329784875
AA4	Victivallis	1		0.0221778664892437
AA4	Zag1	16	0.363136519601281	0.3548458638279
AA4	Zag111	41	0.158113883008419	0.909292526058993
AA4		2	0	0.0443557329784875
AA6	Acinetobacter	4	0	0.539811066126856
AA6	Adlercreutzia	5	0	0.67476383265857
AA6	Agathobacter	2	0	0.269905533063428
AA6	Agathobaculum	14	0	1.88933873144399
AA6	Alcaligenes	1		0.134952766531714
AA6	Anaerovibrio	53	0	7.15249662618084
AA6	Bacillus	2	0	0.269905533063428
AA6	Bifidobacterium	1		0.134952766531714
AA6	Blautia	1		0.134952766531714
AA6	Blautia_A	27	0	3.64372469635628
AA6	Butyrivibrio	10	0	1.34952766531714
AA6	Butyrivibrio_A	1		0.134952766531714
AA6	CAG-103	1		0.134952766531714
AA6	CAG-110	2	0	0.269905533063428
AA6	CAG-127	1		0.134952766531714
AA6	CAG-1427	7	0	0.944669365721997
AA6	CAG-170	3	0	0.404858299595142
AA6	CAG-177	1		0.134952766531714
AA6	CAG-273	1		0.134952766531714
AA6	CAG-302	1		0.134952766531714
AA6	CAG-313	1		0.134952766531714
AA6	CAG-41	2	0	0.269905533063428
AA6	CAG-45	1		0.134952766531714
AA6	CAG-488	1		0.134952766531714
AA6	CAG-603	1		0.134952766531714
AA6	CAG-81	1		0.134952766531714
AA6	CAG-83	5	0.5	0.67476383265857
AA6	CAG-841	1		0.134952766531714
AA6	CAG-95	1		0.134952766531714
AA6	Centipeda	1		0.134952766531714
AA6	Clostridium	5	0	0.67476383265857
AA6	Clostridium_M	1		0.134952766531714
AA6	Clostridium_P	2	0	0.269905533063428
AA6	Coprococcus	2	0	0.269905533063428
AA6	Desulfovibrio	11	0	1.48448043184885
AA6	Dorea	86	0	11.6059379217274
AA6	DTU024	1		0.134952766531714
AA6	Enterobacter	9	0	1.21457489878543
AA6	Enteroscipio	1		0.134952766531714
AA6	ER4	3	0	0.404858299595142
AA6	Escherichia	143	0.167783765394434	19.2982456140351
AA6	Eubacterium_E	1		0.134952766531714
AA6	Eubacterium_F	1		0.134952766531714
AA6	Eubacterium_H	6	0	0.809716599190283
AA6	Eubacterium_R	4	0	0.539811066126856
AA6	Faecalibacterium	2	0	0.269905533063428
AA6	Faecalicatena	4	0	0.539811066126856
AA6	Flavonifractor	42	0.472788971703768	5.66801619433198
AA6	Hungatella	4	0	0.539811066126856
AA6	Intestinimonas	29	0.497613351528119	3.9136302294197
AA6	Klebsiella	1		0.134952766531714
AA6	Lachnospira	2	0	0.269905533063428
AA6	Lactobacillus	2	0	0.269905533063428
AA6	Lactobacillus_B	1		0.134952766531714
AA6	Lactobacillus_H	2	0	0.269905533063428
AA6	Lawsonibacter	4	0	0.539811066126856
AA6	Mailhella	1		0.134952766531714
AA6	Megasphaera	1		0.134952766531714
AA6	Methanosphaera	9	0	1.21457489878543
AA6	Odoribacter	7	0	0.944669365721997
AA6	Oribacterium	1		0.134952766531714
AA6	Oscillibacter	36	0	4.8582995951417
AA6	Parabacteroides	1		0.134952766531714
AA6	PeH17	1		0.134952766531714
AA6	Phascolarctobacterium_A	2	0	0.269905533063428
AA6	Prevotella	11	0.316227766016838	1.48448043184885
AA6	Pseudoflavonifractor	18	0.611249845502127	2.42914979757085
AA6	Pseudomonas	8	0.377964473009227	1.07962213225371
AA6	Psychrobacter	1		0.134952766531714
AA6	Pyramidobacter	7	0	0.944669365721997
AA6	RC9	3	0	0.404858299595142
AA6	Romboutsia	3	0	0.404858299595142
AA6	Roseburia	2	0	0.269905533063428
AA6	Ruminiclostridium_C	2	0	0.269905533063428
AA6	Ruminiclostridium_E	1		0.134952766531714
AA6	Ruminococcus_A	1		0.134952766531714
AA6	Ruminococcus_C	1		0.134952766531714
AA6	Ruminococcus_D	2	0	0.269905533063428
AA6	Ruminococcus_E	15	0	2.02429149797571
AA6	Ruthenibacterium	2	0	0.269905533063428
AA6	Sellimonas	1		0.134952766531714
AA6	Senegalimassilia	1		0.134952766531714
AA6	Slackia	7	0	0.944669365721997
AA6	Stomatobaculum	1		0.134952766531714
AA6	UBA1049	1		0.134952766531714
AA6	UBA1206	1		0.134952766531714
AA6	UBA1394	1		0.134952766531714
AA6	UBA1777	2	0	0.269905533063428
AA6	UBA2727	1		0.134952766531714
AA6	UBA2862	36	0.336010752516124	4.8582995951417
AA6	UBA2943	1		0.134952766531714
AA6	UBA5920	22	0	2.96896086369771
AA6	UBA629	1		0.134952766531714
AA6	UBA738	1		0.134952766531714
AA6	UCG-010	1		0.134952766531714
AA6	Victivallis	3	0.707106781186548	0.404858299595142
AA6		2	0	0.269905533063428
AA7	Adlercreutzia	11	0	0.46335299073294
AA7	Agathobacter	1		0.04212299915754
AA7	Agathobaculum	3	0	0.12636899747262
AA7	Anaerostipes	19	0.235702260395516	0.80033698399326
AA7	Anaerovibrio	62	0	2.61162594776748
AA7	Angelakisella	1		0.04212299915754
AA7	Bacillus	4	0	0.16849199663016
AA7	Blautia_A	189	0.192838197294368	7.96124684077506
AA7	CAG-1000	1		0.04212299915754
AA7	CAG-103	228	0.490444095741653	9.60404380791912
AA7	CAG-110	14	0	0.58972198820556
AA7	CAG-170	10	0.534522483824849	0.4212299915754
AA7	CAG-177	1		0.04212299915754
AA7	CAG-180	43	0	1.81128896377422
AA7	CAG-196	1		0.04212299915754
AA7	CAG-273	2	0	0.08424599831508
AA7	CAG-302	4	0	0.16849199663016
AA7	CAG-390	1		0.04212299915754
AA7	CAG-45	2	0	0.08424599831508
AA7	CAG-484	1		0.04212299915754
AA7	CAG-488	1		0.04212299915754
AA7	CAG-521	1		0.04212299915754
AA7	CAG-533	1		0.04212299915754
AA7	CAG-81	1		0.04212299915754
AA7	CAG-83	9	0.353553390593274	0.37910699241786
AA7	CAG-841	2	0	0.08424599831508
AA7	Clostridium	158	0.663283504147465	6.65543386689132
AA7	Clostridium_AI	1		0.04212299915754
AA7	Clostridium_M	8	0	0.33698399326032
AA7	Clostridium_P	38	0.616964473280531	1.60067396798652
AA7	Comamonas	38	1.03572548135463	1.60067396798652
AA7	Corynebacterium	119	0.259780036734287	5.01263689974726
AA7	Dietzia	18	0.674199862463242	0.75821398483572
AA7	Dorea	146	0.08304547985374	6.14995787700084
AA7	DTU024	8	0	0.33698399326032
AA7	DTU078	2	0	0.08424599831508
AA7	Enterococcus_B	1		0.04212299915754
AA7	ER4	7	0	0.29486099410278
AA7	Escherichia	113	0	4.75989890480202
AA7	Eubacterium_E	98	0.143575886163796	4.12805391743892
AA7	Eubacterium_F	1		0.04212299915754
AA7	Eubacterium_H	86	0	3.62257792754844
AA7	Eubacterium_Q	1		0.04212299915754
AA7	F23-B02	85	0.109108945117996	3.5804549283909
AA7	Faecalibacterium	4	0	0.16849199663016
AA7	Faecalicatena	9	0	0.37910699241786
AA7	Flavonifractor	2	0	0.08424599831508
AA7	Gemmiger	1		0.04212299915754
AA7	Intestinimonas	29	0.266880256341812	1.22156697556866
AA7	Kurthia	1		0.04212299915754
AA7	Lachnoclostridium	1		0.04212299915754
AA7	Lactobacillus	2	0	0.08424599831508
AA7	Lactobacillus_B	1		0.04212299915754
AA7	Lactobacillus_H	2	0	0.08424599831508
AA7	Lawsonibacter	3	0	0.12636899747262
AA7	Marvinbryantia	3	0.707106781186548	0.12636899747262
AA7	Negativibacillus	1		0.04212299915754
AA7	Olsenella_C	1		0.04212299915754
AA7	Oscillibacter	58	0	2.44313395113732
AA7	PeH17	1		0.04212299915754
AA7	Prevotella	12	0.301511344577764	0.50547598989048
AA7	Pseudoflavonifractor	4	0	0.16849199663016
AA7	Pseudomonas	6	0	0.25273799494524
AA7	Pseudoramibacter	3	0	0.12636899747262
AA7	Romboutsia	28	0.730296743340221	1.17944397641112
AA7	Roseburia	1		0.04212299915754
AA7	Ruminiclostridium_C	20	0	0.8424599831508
AA7	Ruminococcus_A	108	0	4.54928390901432
AA7	Ruminococcus_E	6	0	0.25273799494524
AA7	Ruthenibacterium	10	0	0.4212299915754
AA7	Selenomonas_C	4	0	0.16849199663016
AA7	Sellimonas	2	0	0.08424599831508
AA7	Stomatobaculum	2	0	0.08424599831508
AA7	Succinivibrio	13	0	0.54759898904802
AA7	Terrisporobacter	36	0	1.51642796967144
AA7	Turicibacter	51	0	2.14827295703454
AA7	UBA1049	33	0	1.39005897219882
AA7	UBA1417	1		0.04212299915754
AA7	UBA1436	4	0	0.16849199663016
AA7	UBA1777	243	0.32741595331452	10.2358887952822
AA7	UBA2856	1		0.04212299915754
AA7	UBA2882	1		0.04212299915754
AA7	UBA2912	115	0	4.8441449031171
AA7	UBA2943	3	0	0.12636899747262
AA7	UBA7102	4	0	0.16849199663016
AA7	UBA738	1		0.04212299915754
AA7	Victivallis	1		0.04212299915754
AA7	Zag1	1		0.04212299915754
CBM11	Fibrobacter_A	4	0.577350269189626	100
CBM12	CAG-103	3	0	15
CBM12	CAG-170	1		5
CBM12	CAG-83	2	0	10
CBM12	CAG-873	1		5
CBM12	Enterococcus_B	1		5
CBM12	Escherichia	1		5
CBM12	Eubacterium_H	1		5
CBM12	Firm-11	2	0	10
CBM12	Lactobacillus	1		5
CBM12	Marvinbryantia	1		5
CBM12	Prevotella	1		5
CBM12	Ruthenibacterium	1		5
CBM12	Solobacterium	1		5
CBM12	Treponema_D	1		5
CBM12	UBA2943	1		5
CBM12	UBA3789	1		5
CBM13	14-2	1		0.0190150218672751
CBM13	Absiella	6	2.82842712474619	0.114090131203651
CBM13	Acetatifactor	1		0.0190150218672751
CBM13	Acutalibacter	47	0	0.893706027761932
CBM13	Adlercreutzia	6	0	0.114090131203651
CBM13	Agathobacter	34	0.245934688418982	0.646510743487355
CBM13	Agathobaculum	1		0.0190150218672751
CBM13	Anaerostipes	1		0.0190150218672751
CBM13	Anaerotruncus	1		0.0190150218672751
CBM13	Angelakisella	1		0.0190150218672751
CBM13	Atopobium	1		0.0190150218672751
CBM13	Bacteroides	2	0	0.0380300437345503
CBM13	Bifidobacterium	5	0	0.0950751093363757
CBM13	Blautia_A	115	0.162182270310564	2.18672751473664
CBM13	Butyricicoccus_A	226	0.163248467884083	4.29739494200418
CBM13	Butyrivibrio	1		0.0190150218672751
CBM13	C941	12	0	0.228180262407302
CBM13	CAG-1000	1		0.0190150218672751
CBM13	CAG-103	4	0.577350269189626	0.0760600874691006
CBM13	CAG-110	99	0.77093425312507	1.88248716486024
CBM13	CAG-127	2		0.0380300437345503
CBM13	CAG-145	3	0	0.0570450656018254
CBM13	CAG-170	4	0	0.0760600874691006
CBM13	CAG-177	1		0.0190150218672751
CBM13	CAG-180	5	0.5	0.0950751093363757
CBM13	CAG-194	1		0.0190150218672751
CBM13	CAG-245	183	0.531099679251374	3.47974900171135
CBM13	CAG-269	320	0.69179734340248	6.08480699752805
CBM13	CAG-273	12	0.755928946018454	0.228180262407302
CBM13	CAG-302	5	0	0.0950751093363757
CBM13	CAG-390	2	0	0.0380300437345503
CBM13	CAG-41	1		0.0190150218672751
CBM13	CAG-417	1		0.0190150218672751
CBM13	CAG-448	1		0.0190150218672751
CBM13	CAG-45	3	0	0.0570450656018254
CBM13	CAG-452	8	0.377964473009227	0.152120174938201
CBM13	CAG-460	3	0.707106781186548	0.0570450656018254
CBM13	CAG-484	2		0.0380300437345503
CBM13	CAG-485	58	0.322602539032236	1.10287126830196
CBM13	CAG-488	2	0	0.0380300437345503
CBM13	CAG-492	7	1.5	0.133105153070926
CBM13	CAG-533	3	0	0.0570450656018254
CBM13	CAG-536	2	0	0.0380300437345503
CBM13	CAG-603	1		0.0190150218672751
CBM13	CAG-605	3	0	0.0570450656018254
CBM13	CAG-791	5	0.5	0.0950751093363757
CBM13	CAG-793	1		0.0190150218672751
CBM13	CAG-81	1		0.0190150218672751
CBM13	CAG-822	1		0.0190150218672751
CBM13	CAG-83	10	0.786795792469443	0.190150218672751
CBM13	CAG-841	7	0	0.133105153070926
CBM13	CAG-873	38	0.164398987305357	0.722570830956456
CBM13	CAG-882	1		0.0190150218672751
CBM13	CAG-964	8	0	0.152120174938201
CBM13	Campylobacter	1		0.0190150218672751
CBM13	Catenibacterium	1		0.0190150218672751
CBM13	Clostridium	18	0.414039335605413	0.342270393610953
CBM13	Clostridium_AI	32	0.365148371670111	0.608480699752805
CBM13	Clostridium_E	1		0.0190150218672751
CBM13	Clostridium_M	8	0.547722557505166	0.152120174938201
CBM13	Clostridium_P	5	0.5	0.0950751093363757
CBM13	Clostridium_Q	3	0	0.0570450656018254
CBM13	Collinsella	26	1.25830573921179	0.494390568549154
CBM13	Coprococcus	1		0.0190150218672751
CBM13	Corynebacterium	1		0.0190150218672751
CBM13	Dorea	66	0.475663004033243	1.25499144324016
CBM13	Duodenibacillus	1		0.0190150218672751
CBM13	Eisenbergiella	1		0.0190150218672751
CBM13	Enterococcus	2	0	0.0380300437345503
CBM13	Enterococcus_B	4	0.577350269189626	0.0760600874691006
CBM13	Enteroscipio	4	0.577350269189626	0.0760600874691006
CBM13	ER4	18	0.797724035217466	0.342270393610953
CBM13	Erysipelatoclostridium	3	0.707106781186548	0.0570450656018254
CBM13	Escherichia	10	0.534522483824849	0.190150218672751
CBM13	Eubacterium	20	0	0.380300437345503
CBM13	Eubacterium_A	1		0.0190150218672751
CBM13	Eubacterium_E	6	0	0.114090131203651
CBM13	Eubacterium_F	6	0	0.114090131203651
CBM13	Eubacterium_G	2		0.0380300437345503
CBM13	Eubacterium_H	29	0	0.551435634150979
CBM13	Eubacterium_I	1		0.0190150218672751
CBM13	Eubacterium_R	2	0	0.0380300437345503
CBM13	F23-B02	3	0	0.0570450656018254
CBM13	Faecalibacterium	936	0.572230576835781	17.7980604677695
CBM13	Faecalicatena	74	0.401217658828843	1.40711161817836
CBM13	Flavonifractor	2	0	0.0380300437345503
CBM13	Fournierella	14	0	0.266210306141852
CBM13	Gemmiger	1280	0.504723764598386	24.3392279901122
CBM13	Holdemanella	38	0.77028133388609	0.722570830956456
CBM13	Intestinimonas	3	0	0.0570450656018254
CBM13	Lachnobacterium	2		0.0380300437345503
CBM13	Lachnospira	3	0	0.0570450656018254
CBM13	Lactobacillus	19	0.332105582077536	0.361285415478228
CBM13	Lactobacillus_B	4	0.577350269189626	0.0760600874691006
CBM13	Lactobacillus_H	32	0.39584739066357	0.608480699752805
CBM13	Lawsonibacter	10	0.333333333333333	0.190150218672751
CBM13	Marvinbryantia	10	0.707106781186548	0.190150218672751
CBM13	Massilimaliae	1		0.0190150218672751
CBM13	Megasphaera	3	0.707106781186548	0.0570450656018254
CBM13	Methanobrevibacter_A	2	0	0.0380300437345503
CBM13	Methanosphaera	1		0.0190150218672751
CBM13	Mitsuokella	5	0.577350269189626	0.0950751093363757
CBM13	Mogibacterium	2	0	0.0380300437345503
CBM13	Negativibacillus	9	0.487950036474267	0.171135196805476
CBM13	Neisseria	13	0	0.247195284274577
CBM13	Olsenella_B	5	0	0.0950751093363757
CBM13	Olsenella_C	26	1.43759057685652	0.494390568549154
CBM13	Olsenella_E	55	0.271524382323353	1.04582620270013
CBM13	Oscillibacter	8	0	0.152120174938201
CBM13	Oxalobacter	1		0.0190150218672751
CBM13	Parabacteroides	2	0	0.0380300437345503
CBM13	PeH17	1		0.0190150218672751
CBM13	Phascolarctobacterium_A	1		0.0190150218672751
CBM13	Polynucleobacter	38	0	0.722570830956456
CBM13	Prevotella	111	0.539862843724556	2.11066742726754
CBM13	Pseudoramibacter	12	0.534522483824849	0.228180262407302
CBM13	Raoultibacter	5	0.577350269189626	0.0950751093363757
CBM13	RC9	1		0.0190150218672751
CBM13	Romboutsia	4	0	0.0760600874691006
CBM13	Roseburia	4	0.577350269189626	0.0760600874691006
CBM13	Ruminiclostridium_C	3	0	0.0570450656018254
CBM13	Ruminiclostridium_E	1		0.0190150218672751
CBM13	Ruminococcus	1		0.0190150218672751
CBM13	Ruminococcus_A	8	0.377964473009227	0.152120174938201
CBM13	Ruminococcus_C	17	0.351865775274498	0.323255371743677
CBM13	Ruminococcus_D	1		0.0190150218672751
CBM13	Ruminococcus_E	20	0.229415733870562	0.380300437345503
CBM13	Ruthenibacterium	45	0	0.855675984027382
CBM13	Senegalimassilia	131	0.438836128438645	2.49096786461304
CBM13	Slackia	5	1.15470053837925	0.0950751093363757
CBM13	Solobacterium	2	0	0.0380300437345503
CBM13	Stomatobaculum	61	0.129099444873581	1.15991633390378
CBM13	Stoquefichus	1		0.0190150218672751
CBM13	Streptococcus	2	0	0.0380300437345503
CBM13	Succinivibrio	1		0.0190150218672751
CBM13	Sutterella	1		0.0190150218672751
CBM13	Terrisporobacter	32	0.179605302026775	0.608480699752805
CBM13	TF01-11	1		0.0190150218672751
CBM13	Treponema_D	3	0	0.0570450656018254
CBM13	Turicibacter	1		0.0190150218672751
CBM13	Tyzzerella	3	0	0.0570450656018254
CBM13	UBA1049	1		0.0190150218672751
CBM13	UBA1066	13	1.16904519445001	0.247195284274577
CBM13	UBA1081	12	0	0.228180262407302
CBM13	UBA1213	1		0.0190150218672751
CBM13	UBA1232	1		0.0190150218672751
CBM13	UBA1267	3		0.0570450656018254
CBM13	UBA1394	5	0	0.0950751093363757
CBM13	UBA1417	141	0.0845154254728517	2.6811180832858
CBM13	UBA1777	3	0	0.0570450656018254
CBM13	UBA2727	1		0.0190150218672751
CBM13	UBA2834	6	0	0.114090131203651
CBM13	UBA2856	18	0.414039335605413	0.342270393610953
CBM13	UBA2882	3		0.0570450656018254
