enzymeID	species	sum	sd	percentage_species
AA3	Prevotella sp002251435	1		0.144508670520231
AA3	Pseudomonas aeruginosa	34	1.71269767715535	4.91329479768786
AA3	Psychrobacter pasteurii	2		0.289017341040462
AA3	Staphylococcus aureus	2	0	0.289017341040462
AA3	Staphylococcus epidermidis	2	0	0.289017341040462
AA3	UBA1067 sp900320855	10	0	1.44508670520231
AA4	992a sp001940245	2	0	0.0443557329784875
AA4	Acetatifactor sp002314715	1		0.0221778664892437
AA4	Acetatifactor sp900066365	1		0.0221778664892437
AA4	Acidaminococcus fermentans	38	0.903424856082804	0.842758926591262
AA4	Acidaminococcus sp000437815	1		0.0221778664892437
AA4	Acinetobacter lwoffii_B	2	0	0.0443557329784875
AA4	Acinetobacter sp002934695	1		0.0221778664892437
AA4	Adlercreutzia mucosicola	1		0.0221778664892437
AA4	Aerococcus suis	8	0	0.17742293191395
AA4	Aerococcus urinaeequi	3	0	0.0665335994677312
AA4	Agathobacter sp900317585	6	0.447213595499958	0.133067198935462
AA4	Agathobaculum butyriciproducens	70	0.120385853085769	1.55245065424706
AA4	Akkermansia sp002358905	9	0.353553390593274	0.199600798403194
AA4	Alistipes sp900021155	1		0.0221778664892437
AA4	Anaerofilum sp002160015	1		0.0221778664892437
AA4	Anaerostipes sp001940315	1		0.0221778664892437
AA4	Anaerovibrio sp002100115	6	0	0.133067198935462
AA4	Bacillus subtilis	2	0	0.0443557329784875
AA4	Bacteroides fragilis	1		0.0221778664892437
AA4	Bacteroides_B massiliensis	1		0.0221778664892437
AA4	Bifidobacterium boum	1		0.0221778664892437
AA4	Bilophila wadsworthia	39	0.848874687627166	0.864936793080506
AA4	Blautia_A massiliensis	1		0.0221778664892437
AA4	Blautia_A obeum	2	0	0.0443557329784875
AA4	Blautia_A sp000285855	1		0.0221778664892437
AA4	Blautia_A sp002159835	2		0.0443557329784875
AA4	Blautia_A sp900066165	4	0.577350269189626	0.0887114659569749
AA4	Blautia_A sp900066205	1		0.0221778664892437
AA4	Blautia_A wexlerae	16	0	0.3548458638279
AA4	Butyricicoccus_A porcorum	9	0.353553390593274	0.199600798403194
AA4	Butyrivibrio_A crossotus	2		0.0443557329784875
AA4	Butyrivibrio_A sp000431815	1		0.0221778664892437
AA4	CAG-1024 sp000432015	1		0.0221778664892437
AA4	CAG-103 sp000432375	1		0.0221778664892437
AA4	CAG-103 sp900317855	13	0.52704627669473	0.288312264360169
AA4	CAG-110 sp000434635	6	0	0.133067198935462
AA4	CAG-110 sp000435995	1		0.0221778664892437
AA4	CAG-110 sp002362145	46	0.149071198499986	1.02018185850521
AA4	CAG-110 sp002437585	16	0	0.3548458638279
AA4	CAG-110 sp002493965	1		0.0221778664892437
AA4	CAG-110 sp003525905	3	0.707106781186548	0.0665335994677312
AA4	CAG-115 sp003507295	1		0.0221778664892437
AA4	CAG-115 sp003531585	6	0.447213595499958	0.133067198935462
AA4	CAG-127 sp900319515	14	0.389249472080762	0.310490130849412
AA4	CAG-1427 sp000436075	4	0	0.0887114659569749
AA4	CAG-1435 sp000433775	1		0.0221778664892437
AA4	CAG-1435 sp003537755	1		0.0221778664892437
AA4	CAG-170 sp000432135	4	0.577350269189626	0.0887114659569749
AA4	CAG-170 sp002404795	15	0.5	0.332667997338656
AA4	CAG-170 sp003516765	2		0.0443557329784875
AA4	CAG-177 sp000431775	1		0.0221778664892437
AA4	CAG-177 sp003514385	106	0.0975900072948533	2.35085384785984
AA4	CAG-180 sp000432435	2	0	0.0443557329784875
AA4	CAG-196 sp002102975	26	0	0.576624528720337
AA4	CAG-217 sp000436335	2		0.0443557329784875
AA4	CAG-269 sp001916065	1		0.0221778664892437
AA4	CAG-269 sp003525075	1		0.0221778664892437
AA4	CAG-272 sp000433515	8	0.516397779494322	0.17742293191395
AA4	CAG-302 sp000431795	1		0.0221778664892437
AA4	CAG-349 sp003539515	3	0	0.0665335994677312
AA4	CAG-390 sp000437015	2	0	0.0443557329784875
AA4	CAG-433 sp000433675	1		0.0221778664892437
AA4	CAG-45 sp002299665	2	0	0.0443557329784875
AA4	CAG-45 sp900315735	1		0.0221778664892437
AA4	CAG-452 sp000434035	1		0.0221778664892437
AA4	CAG-475 sp000434435	2		0.0443557329784875
AA4	CAG-484 sp900321895	5	0	0.110889332446219
AA4	CAG-510 sp000434615	3	0.707106781186548	0.0665335994677312
AA4	CAG-533 sp000434495	1		0.0221778664892437
AA4	CAG-536 sp900314505	3	0.707106781186548	0.0665335994677312
AA4	CAG-590 sp000431135	2		0.0443557329784875
AA4	CAG-590 sp003530125	1		0.0221778664892437
AA4	CAG-724 sp003524145	8	0	0.17742293191395
AA4	CAG-791 sp000431495	1		0.0221778664892437
AA4	CAG-83 sp000431575	1		0.0221778664892437
AA4	CAG-83 sp000435555	5	0.5	0.110889332446219
AA4	CAG-83 sp000435975	2	0	0.0443557329784875
AA4	CAG-83 sp002392625	2	0	0.0443557329784875
AA4	CAG-83 sp003487665	7	0.547722557505166	0.155245065424706
AA4	CAG-83 sp003539495	6	0	0.133067198935462
AA4	CAG-83 sp900313295	3	0	0.0665335994677312
AA4	CAG-83 sp900317425	1		0.0221778664892437
AA4	Campylobacter hyointestinalis_A	11	0	0.243956531381681
AA4	Campylobacter lanienae	3	0	0.0665335994677312
AA4	Campylobacter sp002139915	38	0	0.842758926591262
AA4	Campylobacter_D coli	3	0	0.0665335994677312
AA4	Cloacibacillus evryensis	2		0.0443557329784875
AA4	Cloacibacillus porcorum	98	0.560112033611204	2.17343091594589
AA4	Clostridium baratii	1		0.0221778664892437
AA4	Clostridium disporicum	2	0	0.0443557329784875
AA4	Clostridium sp000435835	1		0.0221778664892437
AA4	Clostridium sp900317445	1		0.0221778664892437
AA4	Clostridium thermobutyricum	2		0.0443557329784875
AA4	Clostridium_A leptum	2	0	0.0443557329784875
AA4	Clostridium_M bolteae	1		0.0221778664892437
AA4	Clostridium_M clostridioforme	3	0.707106781186548	0.0665335994677312
AA4	Clostridium_M sp001517625	1		0.0221778664892437
AA4	Clostridium_P perfringens	36	0.238832573610613	0.798403193612774
AA4	Clostridium_P ventriculi	60	0.130188910980824	1.33067198935462
AA4	Clostridium_Q saccharolyticum	1		0.0221778664892437
AA4	Collinsella bouchesdurhonensis	1		0.0221778664892437
AA4	Comamonas kerstersii	15	0.5	0.332667997338656
AA4	Coprococcus eutactus_A	1		0.0221778664892437
AA4	Coprococcus_A catus	93	0.232821501626557	2.06254158349967
AA4	Coprococcus_B comes	2	0	0.0443557329784875
AA4	Corynebacterium sp900232865	2		0.0443557329784875
AA4	Corynebacterium xerosis	23	0	0.510090929252606
AA4	D5 sp900113995	1		0.0221778664892437
AA4	Desulfovibrio piger	26	0	0.576624528720337
AA4	Desulfovibrio sp000403945	57	0.305128576629365	1.26413838988689
AA4	Desulfovibrio sp900319575	51	0.423659272868162	1.13107119095143
AA4	Dorea formicigenerans	2	0	0.0443557329784875
AA4	Dorea longicatena	3	0	0.0665335994677312
AA4	Dorea longicatena_B	47	0.508000508000762	1.04235972499446
AA4	Dorea sp000433215	14	0	0.310490130849412
AA4	Duodenibacillus sp002404465	1		0.0221778664892437
AA4	Enterococcus faecalis	1		0.0221778664892437
AA4	Enterococcus_B hirae	1		0.0221778664892437
AA4	Enterococcus_B villorum	1		0.0221778664892437
AA4	Enterococcus_D gallinarum	2		0.0443557329784875
AA4	Enterococcus_E cecorum	3	0.707106781186548	0.0665335994677312
AA4	Enteroscipio rubneri	1		0.0221778664892437
AA4	ER4 sp000765235	11	0.316227766016838	0.243956531381681
AA4	ER4 sp003522105	3	0	0.0665335994677312
AA4	ER4 sp900317525	10	0.534522483824849	0.221778664892437
AA4	Erysipelatoclostridium ramosum	1		0.0221778664892437
AA4	Escherichia flexneri	7	0	0.155245065424706
AA4	Eubacterium callanderi	47	0.676804636604266	1.04235972499446
AA4	Eubacterium_E hallii	1		0.0221778664892437
AA4	Eubacterium_E hallii_A	5	0	0.110889332446219
AA4	Eubacterium_E sp002161065	4	0	0.0887114659569749
AA4	Eubacterium_E sp900016875	2	0	0.0443557329784875
AA4	Eubacterium_F sp000434115	1		0.0221778664892437
AA4	Eubacterium_F sp002431395	5	0	0.110889332446219
AA4	Eubacterium_F sp003491505	2	0	0.0443557329784875
AA4	Eubacterium_H sp002394235	1		0.0221778664892437
AA4	Eubacterium_H sp003488475	1		0.0221778664892437
AA4	Eubacterium_H sp900314295	1		0.0221778664892437
AA4	Eubacterium_I sp000270305	2		0.0443557329784875
AA4	Eubacterium_R coprostanoligenes	2	0	0.0443557329784875
AA4	Eubacterium_R sp000434995	1		0.0221778664892437
AA4	Eubacterium_R sp900321905	1		0.0221778664892437
AA4	F23-B02 sp000431075	1		0.0221778664892437
AA4	F23-B02 sp001916715	1		0.0221778664892437
AA4	F23-B02 sp002472405	78	0	1.72987358616101
AA4	Faecalibacterium prausnitzii_C	1		0.0221778664892437
AA4	Faecalibacterium prausnitzii_D	1		0.0221778664892437
AA4	Faecalibacterium prausnitzii_G	1		0.0221778664892437
AA4	Faecalibacterium prausnitzii_K	3	0.707106781186548	0.0665335994677312
AA4	Faecalibacterium sp002160895	2	0	0.0443557329784875
AA4	Faecalibacterium sp002160915	1		0.0221778664892437
AA4	Faecalicatena faecis	1		0.0221778664892437
AA4	Faecalicatena gnavus	2	0	0.0443557329784875
AA4	Faecalicatena sp900066545	1		0.0221778664892437
AA4	Firm-10 sp001603025	40	0	0.887114659569749
AA4	Firm-11 sp001604105	7	0.547722557505166	0.155245065424706
AA4	Firm-11 sp001604115	1		0.0221778664892437
AA4	Flavonifractor plautii	2	0	0.0443557329784875
AA4	Flavonifractor sp002159455	3	0.707106781186548	0.0665335994677312
AA4	Flavonifractor sp002161085	4	0.577350269189626	0.0887114659569749
AA4	Fournierella sp002160145	1		0.0221778664892437
AA4	Fusicatenibacter saccharivorans	1		0.0221778664892437
AA4	GCA-900066135 sp900066135	3	0	0.0665335994677312
AA4	Gemmiger formicilis	6	0.577350269189626	0.133067198935462
AA4	Gemmiger sp003476825	4	0.577350269189626	0.0887114659569749
AA4	Globicatella sulfidifaciens	1		0.0221778664892437
AA4	Helicobacter_F sp002287135	6	0.577350269189626	0.133067198935462
AA4	Hungatella amygdalinum	1		0.0221778664892437
AA4	Hungatella effluvii	6	0.577350269189626	0.133067198935462
AA4	Hungatella hathewayi	1		0.0221778664892437
AA4	Intestinibacter bartlettii	22	0	0.487913062763362
AA4	Intestinimonas butyriciproducens	17	0.514928650544437	0.377023730317144
AA4	Intestinimonas massiliensis	66	0.628767713237013	1.46373918829009
AA4	ISO4-G1 sp001563305	1		0.0221778664892437
AA4	Jeotgalibaca sp001975685	2	0	0.0443557329784875
AA4	KLE1615 sp900066985	7	0.547722557505166	0.155245065424706
AA4	Kurthia sp002359015	5	0	0.110889332446219
AA4	Kurthia sp002418445	2	0	0.0443557329784875
AA4	Lachnospira multipara	1		0.0221778664892437
AA4	Lachnospira sp900316325	2	0	0.0443557329784875
AA4	Lactobacillus amylovorus	1		0.0221778664892437
AA4	Lactobacillus crispatus	6	0	0.133067198935462
AA4	Lactobacillus delbrueckii	46	0	1.02018185850521
AA4	Lactobacillus delbrueckii_A	91	0	2.01818585052118
AA4	Lactobacillus gallinarum	4		0.0887114659569749
AA4	Lactobacillus helveticus	2		0.0443557329784875
AA4	Lactobacillus johnsonii	3	0	0.0665335994677312
AA4	Lactobacillus_B salivarius	1		0.0221778664892437
AA4	Lactobacillus_C rhamnosus	1		0.0221778664892437
AA4	Lactobacillus_F plantarum	4	0	0.0887114659569749
AA4	Lactobacillus_H mucosae	1		0.0221778664892437
AA4	Lactobacillus_H reuteri	9	0.755928946018454	0.199600798403194
AA4	Lactobacillus_H vaginalis	1		0.0221778664892437
AA4	Lawsonibacter sp000177015	7	0.547722557505166	0.155245065424706
AA4	Lawsonibacter sp002161175	1		0.0221778664892437
AA4	Mailhella sp003512875	1		0.0221778664892437
AA4	Marseille-P3106 sp900169975	7	0	0.155245065424706
AA4	Marvinbryantia sp900066075	3	0	0.0665335994677312
AA4	Megasphaera elsdenii	613	1.22494265013674	13.5950321579064
AA4	Methanomethylophilus alvus	46	0.471008215953606	1.02018185850521
AA4	Methanomethylophilus sp000350305	14	0	0.310490130849412
AA4	Mitsuokella jalaludinii	3	0.707106781186548	0.0665335994677312
AA4	Mitsuokella multacida	1		0.0221778664892437
AA4	Mogibacterium sp002299625	1		0.0221778664892437
AA4	Mogibacterium sp900315625	2	0	0.0443557329784875
AA4	Neisseria meningitidis_B	13	0	0.288312264360169
AA4	NK3B98 sp900314485	1		0.0221778664892437
AA4	OEMS01 sp900199405	113	0.503147984927737	2.50609891328454
AA4	Oscillibacter sp001916835	8	0	0.17742293191395
AA4	Oscillibacter sp900066435	6	0	0.133067198935462
AA4	Oscillibacter sp900115635	1		0.0221778664892437
AA4	Oxalobacter formigenes_B	11	0	0.243956531381681
AA4	Paenalcaligenes hominis	2		0.0443557329784875
AA4	Parabacteroides distasonis	1		0.0221778664892437
AA4	Paraburkholderia megapolitana	1		0.0221778664892437
AA4	Phascolarctobacterium faecium	7	0.5	0.155245065424706
AA4	Phascolarctobacterium_A succinatutens	1106	1.3741536414343	24.5287203371036
AA4	Phascolarctobacterium_A succinatutens_A	1		0.0221778664892437
AA4	Phil12 sp002633275	1		0.0221778664892437
AA4	Polynucleobacter aenigmaticus	1		0.0221778664892437
AA4	Polynucleobacter rarus	36	0	0.798403193612774
AA4	Polynucleobacter sphagniphilus	2	0	0.0443557329784875
AA4	Prevotella copri	2	0	0.0443557329784875
AA4	Prevotella sp002251295	2	0	0.0443557329784875
AA4	Prevotella sp002251385	3	0.707106781186548	0.0665335994677312
AA4	Prevotella sp002251435	3	0.707106781186548	0.0665335994677312
AA4	Prevotella sp900313215	2		0.0443557329784875
AA4	Prevotella sp900315955	1		0.0221778664892437
AA4	Pseudoflavonifractor capillosus	2	0	0.0443557329784875
AA4	Pseudoramibacter sp002396065	6	0.447213595499958	0.133067198935462
AA4	Pseudoscardovia suis	1		0.0221778664892437
AA4	Psychrobacter pasteurii	1		0.0221778664892437
AA4	Pyramidobacter sp002007215	13	0.517549169506766	0.288312264360169
AA4	Romboutsia timonensis	5	0.5	0.110889332446219
AA4	RUG001 sp900314575	1		0.0221778664892437
AA4	RUG013 sp001486445	5	0	0.110889332446219
AA4	RUG114 sp900315615	2		0.0443557329784875
AA4	RUG563 sp900320085	5	0	0.110889332446219
AA4	Ruminiclostridium_C sp000435295	54	0.194183909345154	1.19760479041916
AA4	Ruminiclostridium_E siraeum	1		0.0221778664892437
AA4	Ruminococcus flavefaciens_A	1		0.0221778664892437
AA4	Ruminococcus_A sp002361775	1		0.0221778664892437
AA4	Ruminococcus_A sp003011855	3	0	0.0665335994677312
AA4	Ruminococcus_C sp000433635	1		0.0221778664892437
AA4	Ruminococcus_E bromii_A	12	0	0.266134397870925
AA4	Ruminococcus_E bromii_B	1		0.0221778664892437
AA4	Ruminococcus_E sp002491825	1		0.0221778664892437
AA4	Ruminococcus_E sp003521625	2	0	0.0443557329784875
AA4	Ruminococcus_E sp900315785	1		0.0221778664892437
AA4	Ruminococcus_E sp900316815	1		0.0221778664892437
AA4	Ruminococcus_E sp900317315	4	0	0.0887114659569749
AA4	Ruminococcus_E sp900317875	1		0.0221778664892437
AA4	Ruminococcus_E sp900319655	1		0.0221778664892437
AA4	Ruthenibacterium lactatiformans	8	0.516397779494322	0.17742293191395
AA4	Selenomonas_C bovis	5	0	0.110889332446219
AA4	Selenomonas_C sp002351185	5	0.577350269189626	0.110889332446219
AA4	Solobacterium sp900290205	1		0.0221778664892437
AA4	Streptococcus agalactiae	1		0.0221778664892437
AA4	Streptococcus caballi	3	0	0.0665335994677312
AA4	Succiniclasticum sp900314855	120	0.558831243582521	2.66134397870925
AA4	Succiniclasticum sp900315925	2		0.0443557329784875
AA4	Succinivibrio sp000431835	4	0	0.0887114659569749
AA4	Succinivibrio sp003456415	1		0.0221778664892437
AA4	Succinivibrio sp900316375	36	0	0.798403193612774
AA4	Sutterella parvirubra	1		0.0221778664892437
AA4	Sutterella wadsworthensis_A	2	0	0.0443557329784875
AA4	Synergistes jonesii	25	0.351250086657104	0.554446662231093
AA4	Treponema_D berlinense	4	0.577350269189626	0.0887114659569749
AA4	Treponema_D porcinum	54	0	1.19760479041916
AA4	Treponema_D sp002395155	1		0.0221778664892437
AA4	Treponema_D succinifaciens	2	0	0.0443557329784875
AA4	Turicibacter sp001543345	1		0.0221778664892437
AA4	Tyzzerella sp900316755	3	0.707106781186548	0.0665335994677312
AA4	UBA1067 sp900320855	17	0.25	0.377023730317144
AA4	UBA10677 sp003533505	1		0.0221778664892437
AA4	UBA11517 sp003522085	2	0	0.0443557329784875
AA4	UBA11524 sp000437595	17	0.522232967867094	0.377023730317144
AA4	UBA1206 sp000433115	3	0	0.0665335994677312
AA4	UBA1221 sp002350725	1		0.0221778664892437
AA4	UBA1259 sp003523255	1		0.0221778664892437
AA4	UBA1417 sp003531055	4	0	0.0887114659569749
AA4	UBA1436 sp002432025	1		0.0221778664892437
AA4	UBA1777 sp002320035	25	0	0.554446662231093
AA4	UBA1777 sp002431965	1		0.0221778664892437
AA4	UBA1777 sp003150355	20	0	0.443557329784875
AA4	UBA1777 sp900319465	1		0.0221778664892437
AA4	UBA1777 sp900319635	11	0	0.243956531381681
AA4	UBA1777 sp900319835	9	0	0.199600798403194
AA4	UBA2727 sp900100095	1		0.0221778664892437
AA4	UBA2856 sp900319065	2	0	0.0443557329784875
AA4	UBA2862 sp900317565	7	0.408248290463863	0.155245065424706
AA4	UBA2882 sp900317505	1		0.0221778664892437
AA4	UBA2883 sp002103075	5	0	0.110889332446219
AA4	UBA2922 sp900313925	1		0.0221778664892437
AA4	UBA328 sp002506905	34	0.418853908291695	0.754047460634287
AA4	UBA3818 sp002369315	16	0.522232967867094	0.3548458638279
AA4	UBA4716 sp002438865	3	0	0.0665335994677312
AA4	UBA644 sp002299265	4	0	0.0887114659569749
AA4	UBA6857 sp002451715	1		0.0221778664892437
AA4	UBA7096 sp002492425	1		0.0221778664892437
AA4	UBA71 sp002504405	3		0.0665335994677312
AA4	UBA7182 sp002160135	1		0.0221778664892437
AA4	UBA737 sp002297415	1		0.0221778664892437
AA4	UBA737 sp002431945	37	0.235504107976803	0.820581060102018
AA4	UBA737 sp002451855	1		0.0221778664892437
AA4	UBA738 sp003522945	3	0	0.0665335994677312
AA4	UBA7748 sp900314535	1		0.0221778664892437
AA4	UBA791 sp002297005	1		0.0221778664892437
AA4	VadinCA11 sp002498365	2		0.0443557329784875
AA4	Victivallis sp002998355	1		0.0221778664892437
AA4	Zag1 sp001765415	16	0.363136519601281	0.3548458638279
AA4	Zag111 sp002102825	20	0	0.443557329784875
AA4	Zag111 sp002103105	8	0	0.17742293191395
AA4	Zag111 sp003258735	13	0.288675134594813	0.288312264360169
AA4		4	0	0.0887114659569749
AA6	Acinetobacter lwoffii_B	4	0	0.539811066126856
AA6	Agathobacter sp000434275	1		0.134952766531714
AA6	Agathobacter sp900317585	1		0.134952766531714
AA6	An172 sp002160515	1		0.134952766531714
AA6	Anaerovibrio sp002100115	53	0	7.15249662618084
AA6	Bacillus subtilis	2	0	0.269905533063428
AA6	Bifidobacterium boum	1		0.134952766531714
AA6	Blautia sp000436935	1		0.134952766531714
AA6	Blautia_A massiliensis	2	0	0.269905533063428
AA6	Blautia_A obeum	1		0.134952766531714
AA6	Blautia_A sp900066165	1		0.134952766531714
AA6	Blautia_A sp900066355	1		0.134952766531714
AA6	Blautia_A wexlerae	22	0	2.96896086369771
AA6	Butyricicoccus pullicaecorum	14	0	1.88933873144399
AA6	Butyrivibrio fibrisolvens_C	1		0.134952766531714
AA6	Butyrivibrio hungatei	2	0	0.269905533063428
AA6	Butyrivibrio sp000420845	1		0.134952766531714
AA6	Butyrivibrio sp000420865	1		0.134952766531714
AA6	Butyrivibrio sp000424585	3	0	0.404858299595142
AA6	Butyrivibrio sp900102515	2	0	0.269905533063428
AA6	Butyrivibrio_A crossotus	1		0.134952766531714
AA6	CAG-103 sp900317855	1		0.134952766531714
AA6	CAG-110 sp002362145	2	0	0.269905533063428
AA6	CAG-127 sp002476495	1		0.134952766531714
AA6	CAG-1427 sp000436075	7	0	0.944669365721997
AA6	CAG-170 sp000436735	3	0	0.404858299595142
AA6	CAG-177 sp003514385	1		0.134952766531714
AA6	CAG-273 sp003507395	1		0.134952766531714
AA6	CAG-313 sp003539625	1		0.134952766531714
AA6	CAG-41 sp900066215	1		0.134952766531714
AA6	CAG-45 sp002299665	1		0.134952766531714
AA6	CAG-488 sp000434055	1		0.134952766531714
AA6	CAG-603 sp900314525	1		0.134952766531714
AA6	CAG-81 sp000435795	1		0.134952766531714
AA6	CAG-83 sp000435975	1		0.134952766531714
AA6	CAG-83 sp001916855	4	0.577350269189626	0.539811066126856
AA6	CAG-841 sp000437375	1		0.134952766531714
AA6	CAG-914 sp000437895	1		0.134952766531714
AA6	CAG-95 sp000438155	1		0.134952766531714
AA6	Clostridium baratii	1		0.134952766531714
AA6	Clostridium disporicum	3	0	0.404858299595142
AA6	Clostridium sp900317445	1		0.134952766531714
AA6	Clostridium_M clostridioforme	1		0.134952766531714
AA6	Clostridium_P perfringens	2	0	0.269905533063428
AA6	Coprococcus eutactus_A	1		0.134952766531714
AA6	Coprococcus sp000433075	1		0.134952766531714
AA6	Coprococcus_B comes	1		0.134952766531714
AA6	Desulfovibrio piger	11	0	1.48448043184885
AA6	Dorea formicigenerans	85	0	11.4709851551957
AA6	Dorea sp002160985	1		0.134952766531714
AA6	Enterobacter himalayensis	9	0	1.21457489878543
AA6	Enteroscipio rubneri	1		0.134952766531714
AA6	ER4 sp000765235	1		0.134952766531714
AA6	ER4 sp900317525	2	0	0.269905533063428
AA6	Escherichia coli	7	0.5	0.944669365721997
AA6	Escherichia coli_D	2	0	0.269905533063428
AA6	Escherichia dysenteriae	4	0	0.539811066126856
AA6	Escherichia flexneri	130	0.0880450906325624	17.5438596491228
AA6	Eubacterium_E hallii_A	1		0.134952766531714
AA6	Eubacterium_F sp003491505	1		0.134952766531714
AA6	Eubacterium_H sp002394235	1		0.134952766531714
AA6	Eubacterium_H sp003488475	2	0	0.269905533063428
AA6	Eubacterium_H sp900314295	2	0	0.269905533063428
AA6	Eubacterium_H sp900317175	1		0.134952766531714
AA6	Eubacterium_R sp000433975	2	0	0.269905533063428
AA6	Eubacterium_R sp000434995	1		0.134952766531714
AA6	Eubacterium_R sp000436835	1		0.134952766531714
AA6	Faecalibacterium prausnitzii_C	1		0.134952766531714
AA6	Faecalibacterium prausnitzii_K	1		0.134952766531714
AA6	Faecalicatena faecis	3	0	0.404858299595142
AA6	Faecalicatena torques	1		0.134952766531714
AA6	Flavonifractor sp002159175	27	0.4	3.64372469635628
AA6	Flavonifractor sp900199495	15	0.52704627669473	2.02429149797571
AA6	Hungatella effluvii	4	0	0.539811066126856
AA6	Intestinimonas butyriciproducens	13	0.483045891539648	1.75438596491228
AA6	Intestinimonas massiliensis	16	0.522232967867094	2.15924426450742
AA6	KLE1615 sp900066985	1		0.134952766531714
AA6	Klebsiella pneumoniae	1		0.134952766531714
AA6	Lachnospira eligens	1		0.134952766531714
AA6	Lachnospira sp900316325	1		0.134952766531714
AA6	Lactobacillus gallinarum	1		0.134952766531714
AA6	Lactobacillus johnsonii	1		0.134952766531714
AA6	Lactobacillus_B salivarius	1		0.134952766531714
AA6	Lactobacillus_H reuteri	1		0.134952766531714
AA6	Lactobacillus_H vaginalis	1		0.134952766531714
AA6	Lawsonibacter sp000177015	4	0	0.539811066126856
AA6	Mailhella sp003512875	1		0.134952766531714
AA6	Marseille-P3106 sp900169975	16	0.65133894727893	2.15924426450742
AA6	Megasphaera elsdenii	1		0.134952766531714
AA6	Methanosphaera cuniculi	7	0	0.944669365721997
AA6	Methanosphaera sp900322125	2	0	0.269905533063428
AA6	Odoribacter massiliensis	7	0	0.944669365721997
AA6	OEMS01 sp900199405	1		0.134952766531714
AA6	Oribacterium sp900107835	1		0.134952766531714
AA6	Oscillibacter sp000403435	1		0.134952766531714
AA6	Oscillibacter sp001916835	3	0	0.404858299595142
AA6	Oscillibacter sp900066435	32	0	4.31848852901484
AA6	Paenalcaligenes hominis	1		0.134952766531714
AA6	Parabacteroides goldsteinii	1		0.134952766531714
AA6	PeH17 sp000435055	1		0.134952766531714
AA6	Phascolarctobacterium_A succinatutens	2	0	0.269905533063428
AA6	Prevotella copri	1		0.134952766531714
AA6	Prevotella sp000434975	1		0.134952766531714
AA6	Prevotella sp000834015	3	0	0.404858299595142
AA6	Prevotella sp002251245	2	0	0.269905533063428
AA6	Prevotella sp002251385	3	0.707106781186548	0.404858299595142
AA6	Prevotella sp900313215	1		0.134952766531714
AA6	Pseudoflavonifractor capillosus	2	0	0.269905533063428
AA6	Pseudomonas aeruginosa	8	0.377964473009227	1.07962213225371
