species,cor,pval,padj,correlation_tested
CAG-417 sp002477275,0.150842193885566,0.462008023948605,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-433 sp000433675,0.0746227082044431,0.642870426934243,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-45 sp002299665,-0.137677800004632,0.311596561399908,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-451 sp000438295,-0.0931794283495868,0.572616236940492,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-452 sp000434035,-0.0896679724645366,0.548913659135661,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-460 sp000437315,0.012771440424233,0.932865887764335,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-465 sp000433135,-0.13686715474485,0.640807267484624,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-465 sp000433755,0.129026231101765,0.567144823663496,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-485 sp000437495,-0.17467949532365,0.488148230600036,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-485 sp001701295,-0.105739318192453,0.743622577654329,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-485 sp002361155,-0.409078545800561,0.0820142962981174,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-485 sp900321585,0.0903263960636212,0.611432998788669,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-488 sp000434055,0.136967438256095,0.412219377362391,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-488 sp002449395,0.35452213755704,0.0820612224049952,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-492 sp000434335,-0.131935874457765,0.667445641318638,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-510 sp000434615,-0.0866026298519263,0.788993246993523,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-533 sp000434495,-0.17126648421161,0.215615506503233,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-533 sp002438065,-0.133373662602047,0.399762050403714,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-536 sp900314505,-0.0290678787558826,0.846211813081774,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-56 sp900066615,-0.376403654392956,0.136448235145537,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-594 sp000434835,0.11037324443688,0.422434931253538,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-603 sp900314525,-0.0114221482417874,0.971895696192559,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-605 sp000433255,0.129028974923452,0.387379275346075,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-605 sp000433475,-0.00837111453342709,0.955465253283895,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-611 sp000434175,0.119558243946638,0.544528564654271,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-628 sp003524085,0.436225626805174,0.0800265400897284,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-710 sp000432595,0.0610199546976572,0.680340043895353,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-724 sp003524145,0.0754379586058221,0.708424820010716,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-762 sp000432575,-0.365541947526476,0.112985991660851,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-791 sp000431495,0.12675988403477,0.35641832085887,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-83 sp000431575,0.0618823512607182,0.656661892455118,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-83 sp000435555,0.0635980605094888,0.689061098654526,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-83 sp000435975,-0.300042413812685,0.174883248785615,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-83 sp001916855,-0.641352637366356,5.77323220827861e-05,0.024016645986439,corr_t4speciesAbundance_with_t10Host_weight
CAG-83 sp003487665,-0.220154834169995,0.0998528401301035,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-83 sp003539495,0.149597921748356,0.315553614078218,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-83 sp900313295,0.276074375057535,0.0475808213371665,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-841 sp000437375,0.385985532435911,0.125953204560553,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-841 sp002405565,0.314595180694717,0.273307123140386,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-841 sp002479075,0.00777673293566196,0.981895414304485,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-873 sp001701165,0.443078619965826,0.0574416766442774,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-873 sp002493945,0.207749518056095,0.366182254301403,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-877 sp000433455,-0.119462197282672,0.376095333038058,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-884 sp000433875,-0.00381745248270692,0.986897299968825,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-914 sp000437895,-0.234132326925378,0.13074773467882,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-95 sp000436115,-0.210509717150443,0.373008468691686,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-95 sp900066375,0.335929066904933,0.187412038604683,1,corr_t4speciesAbundance_with_t10Host_weight
CAG-964_A sp002493755,0.0100004081592308,0.968585150210473,1,corr_t4speciesAbundance_with_t10Host_weight
Campylobacter hyointestinalis_A,-0.0509256360597977,0.875107542146206,1,corr_t4speciesAbundance_with_t10Host_weight
Campylobacter sp002139915,0.109081492193991,0.50284557015116,1,corr_t4speciesAbundance_with_t10Host_weight
Catenibacterium mitsuokai,-0.0876737225980389,0.51665640575893,1,corr_t4speciesAbundance_with_t10Host_weight
Chlamydia suis,0.28788213533949,0.0314368930272039,1,corr_t4speciesAbundance_with_t10Host_weight
Cloacibacillus porcorum,-0.207877760086485,0.245700032073571,1,corr_t4speciesAbundance_with_t10Host_weight
Clostridium sp000435835,0.161855998272479,0.233348107832238,1,corr_t4speciesAbundance_with_t10Host_weight
Clostridium sp900317445,0.293159838974399,0.0564060904413811,1,corr_t4speciesAbundance_with_t10Host_weight
Clostridium_AI sp002297865,0.128927415398977,0.660467786684197,1,corr_t4speciesAbundance_with_t10Host_weight
Clostridium_M clostridioforme,-0.0073931681540262,0.970805040896911,1,corr_t4speciesAbundance_with_t10Host_weight
Clostridium_M sp001304855,0.0656553509519629,0.847906849311735,1,corr_t4speciesAbundance_with_t10Host_weight
Clostridium_P perfringens,-0.0526321616810282,0.816058523067394,1,corr_t4speciesAbundance_with_t10Host_weight
Clostridium_P ventriculi,-0.370520491433572,0.0112522522182763,1,corr_t4speciesAbundance_with_t10Host_weight
Clostridium_Q sp003024715,0.312331235962298,0.298831136206614,1,corr_t4speciesAbundance_with_t10Host_weight
COE1 sp001916965,-3.35150721278123e-05,0.999905418051402,1,corr_t4speciesAbundance_with_t10Host_weight
Collinsella aerofaciens,0.0873614638774819,0.714187984467177,1,corr_t4speciesAbundance_with_t10Host_weight
Collinsella bouchesdurhonensis,0.237663753476179,0.162790092893572,1,corr_t4speciesAbundance_with_t10Host_weight
Collinsella sp002391315,0.0409812991684799,0.762137917642323,1,corr_t4speciesAbundance_with_t10Host_weight
Coprococcus_A catus,-0.0399687772486613,0.769927427026487,1,corr_t4speciesAbundance_with_t10Host_weight
Coprococcus_B comes,0.47468415602576,0.0400142100211922,1,corr_t4speciesAbundance_with_t10Host_weight
Corynebacterium stationis,0.052917337713371,0.749013074264534,1,corr_t4speciesAbundance_with_t10Host_weight
Corynebacterium xerosis,0.102600902382613,0.469192414208304,1,corr_t4speciesAbundance_with_t10Host_weight
Denitrobacterium detoxificans,-0.0428278020208331,0.807011772492978,1,corr_t4speciesAbundance_with_t10Host_weight
Desulfovibrio piger,-0.00859623204387379,0.960911431463874,1,corr_t4speciesAbundance_with_t10Host_weight
Desulfovibrio sp000403945,-0.210243625114107,0.434477384912628,1,corr_t4speciesAbundance_with_t10Host_weight
Desulfovibrio sp900319575,-0.299944259640676,0.212163420579857,1,corr_t4speciesAbundance_with_t10Host_weight
Dialister sp000434475,-0.00325272215591762,0.983484139090619,1,corr_t4speciesAbundance_with_t10Host_weight
Dialister succinatiphilus,-0.267037767507199,0.105076150272921,1,corr_t4speciesAbundance_with_t10Host_weight
Dietzia sp002441635,-0.268658924031141,0.42439860770416,1,corr_t4speciesAbundance_with_t10Host_weight
Dorea formicigenerans,0.0362052127818839,0.789180299153496,1,corr_t4speciesAbundance_with_t10Host_weight
Dorea longicatena,-0.00885433030415691,0.94835989217403,1,corr_t4speciesAbundance_with_t10Host_weight
Dorea longicatena_B,-0.0324559729701479,0.857699503248631,1,corr_t4speciesAbundance_with_t10Host_weight
Dorea scindens,0.0392467177561486,0.815030598537748,1,corr_t4speciesAbundance_with_t10Host_weight
Dorea sp000433215,-0.18329270019742,0.452584849100344,1,corr_t4speciesAbundance_with_t10Host_weight
Dorea sp900066765,0.252740346865782,0.23344275295697,1,corr_t4speciesAbundance_with_t10Host_weight
DTU089_A sp002440045,-0.0954673235056964,0.73503103514565,1,corr_t4speciesAbundance_with_t10Host_weight
Enterococcus faecalis,-0.201731281153302,0.453722314072813,1,corr_t4speciesAbundance_with_t10Host_weight
Enterococcus_B hirae,-0.0367026540152596,0.8393076589441,1,corr_t4speciesAbundance_with_t10Host_weight
Enterococcus_E cecorum,-0.246992783869621,0.205113422950789,1,corr_t4speciesAbundance_with_t10Host_weight
ER4 sp000765235,-0.0405600209427448,0.775268772683496,1,corr_t4speciesAbundance_with_t10Host_weight
ER4 sp003522105,0.0124122068396572,0.931111364576092,1,corr_t4speciesAbundance_with_t10Host_weight
ER4 sp900317525,0.140510667058855,0.310861133474637,1,corr_t4speciesAbundance_with_t10Host_weight
Erysipelatoclostridium sp000752095,-0.101612337048067,0.669910839378639,1,corr_t4speciesAbundance_with_t10Host_weight
Escherichia flexneri,0.00226496054716084,0.986781938548134,1,corr_t4speciesAbundance_with_t10Host_weight
Eubacterium callanderi,-0.407573295004395,0.117116089038556,1,corr_t4speciesAbundance_with_t10Host_weight
Eubacterium_A pyruvativorans,-0.0664836562946859,0.683569083146674,1,corr_t4speciesAbundance_with_t10Host_weight
Eubacterium_E hallii,-0.0505442245858021,0.744553830369863,1,corr_t4speciesAbundance_with_t10Host_weight
Eubacterium_E hallii_A,-0.0161609037738058,0.908559954262396,1,corr_t4speciesAbundance_with_t10Host_weight
Eubacterium_E sp002161065,-0.415241944585673,0.204081186924706,1,corr_t4speciesAbundance_with_t10Host_weight
Eubacterium_F sp003491505,-0.220541149139953,0.259428404783748,1,corr_t4speciesAbundance_with_t10Host_weight
Eubacterium_H cellulosolvens,0.223907253990825,0.404484073168361,1,corr_t4speciesAbundance_with_t10Host_weight
Eubacterium_H sp002394235,0.0337070549540567,0.849899859863444,1,corr_t4speciesAbundance_with_t10Host_weight
Eubacterium_H sp003488475,0.00256255328901216,0.990087446679951,1,corr_t4speciesAbundance_with_t10Host_weight
Eubacterium_H sp900314295,-0.0485397844942887,0.813843011323009,1,corr_t4speciesAbundance_with_t10Host_weight
Eubacterium_H sp900317175,-0.280104512701618,0.404136871202455,1,corr_t4speciesAbundance_with_t10Host_weight
Eubacterium_Q sp900314445,-0.23823226686515,0.204885867504061,1,corr_t4speciesAbundance_with_t10Host_weight
Eubacterium_R coprostanoligenes,0.182484308561705,0.174259811011918,1,corr_t4speciesAbundance_with_t10Host_weight
Eubacterium_R sp000434995,0.182783907823288,0.498043604450323,1,corr_t4speciesAbundance_with_t10Host_weight
Eubacterium_R sp003526845,-0.0296588217598886,0.90406415043932,1,corr_t4speciesAbundance_with_t10Host_weight
Eubacterium_S uniforme,-0.003680633190732,0.987712758708467,1,corr_t4speciesAbundance_with_t10Host_weight
F082 sp900315175,0.39351973021666,0.183407418575098,1,corr_t4speciesAbundance_with_t10Host_weight
F23-B02 sp000431075,0.122837200935525,0.380883620262737,1,corr_t4speciesAbundance_with_t10Host_weight
F23-B02 sp001916715,0.030872629669581,0.866792998953864,1,corr_t4speciesAbundance_with_t10Host_weight
F23-B02 sp002314685,-0.215323884801327,0.194185356517316,1,corr_t4speciesAbundance_with_t10Host_weight
F23-B02 sp002472405,0.0521982288880475,0.702412167917513,1,corr_t4speciesAbundance_with_t10Host_weight
Faecalibacterium prausnitzii_C,0.203303718054097,0.227487457300284,1,corr_t4speciesAbundance_with_t10Host_weight
Faecalibacterium prausnitzii_D,0.129404589792006,0.337367180189137,1,corr_t4speciesAbundance_with_t10Host_weight
Faecalibacterium prausnitzii_E,-0.042755183204911,0.752163722382233,1,corr_t4speciesAbundance_with_t10Host_weight
Faecalibacterium prausnitzii_G,-0.0194423691741083,0.913093639979368,1,corr_t4speciesAbundance_with_t10Host_weight
Faecalibacterium prausnitzii_K,-0.135762533473669,0.603382597447503,1,corr_t4speciesAbundance_with_t10Host_weight
Faecalibacterium sp002160895,0.183748076225594,0.269464530819527,1,corr_t4speciesAbundance_with_t10Host_weight
Faecalibacterium sp003449675,0.0681546683717285,0.627742610595721,1,corr_t4speciesAbundance_with_t10Host_weight
Faecalicatena faecis,-0.0792443847257291,0.576552390039092,1,corr_t4speciesAbundance_with_t10Host_weight
Faecalicatena gnavus,0.109285100463395,0.656058882768615,1,corr_t4speciesAbundance_with_t10Host_weight
Faecalicatena sp002320245,0.289114391165515,0.362071341613123,1,corr_t4speciesAbundance_with_t10Host_weight
Faecalicatena sp900066545,0.1288338005085,0.689860711270121,1,corr_t4speciesAbundance_with_t10Host_weight
Firm-10 sp001603025,0.157461848420604,0.246453184825001,1,corr_t4speciesAbundance_with_t10Host_weight
Flavonifractor sp002159175,0.39701805729285,0.114582400322156,1,corr_t4speciesAbundance_with_t10Host_weight
Fusicatenibacter saccharivorans,0.133679355825063,0.330554481512027,1,corr_t4speciesAbundance_with_t10Host_weight
GCA-900066135 sp900066135,-0.106012106431334,0.432537250431587,1,corr_t4speciesAbundance_with_t10Host_weight
Gemmiger formicilis,0.289421659317303,0.028988370939076,1,corr_t4speciesAbundance_with_t10Host_weight
Gemmiger sp003476825,-0.115598419816903,0.391837763818949,1,corr_t4speciesAbundance_with_t10Host_weight
Gemmiger variabile,-0.0541971115706297,0.711488277760554,1,corr_t4speciesAbundance_with_t10Host_weight
Gordonibacter massiliensis,-0.0844778225338627,0.74718229293484,1,corr_t4speciesAbundance_with_t10Host_weight
Holdemanella biformis,-0.0324659493826,0.810527689315764,1,corr_t4speciesAbundance_with_t10Host_weight
Holdemanella sp002299315,-0.0889444521209214,0.51057370441489,1,corr_t4speciesAbundance_with_t10Host_weight
Hungatella effluvii,0.107375397356427,0.714840227853272,1,corr_t4speciesAbundance_with_t10Host_weight
Intestinibacter bartlettii,0.026128675999088,0.899178256216366,1,corr_t4speciesAbundance_with_t10Host_weight
Intestinimonas butyriciproducens,-0.098077089517689,0.552513111412737,1,corr_t4speciesAbundance_with_t10Host_weight
Intestinimonas massiliensis,0.0102192040378493,0.961332755920372,1,corr_t4speciesAbundance_with_t10Host_weight
KLE1615 sp900066985,-0.116403154969998,0.406511828444774,1,corr_t4speciesAbundance_with_t10Host_weight
Lachnospira sp900316325,0.299743341741116,0.0480702976222287,1,corr_t4speciesAbundance_with_t10Host_weight
Lactobacillus amylovorus,0.142675086855099,0.289719596304645,1,corr_t4speciesAbundance_with_t10Host_weight
Lactobacillus crispatus,-0.153200540172246,0.326688325213482,1,corr_t4speciesAbundance_with_t10Host_weight
Lactobacillus delbrueckii,-0.271637466925102,0.189010142458382,1,corr_t4speciesAbundance_with_t10Host_weight
Lactobacillus delbrueckii_A,0.23414417235658,0.101711411523152,1,corr_t4speciesAbundance_with_t10Host_weight
Lactobacillus johnsonii,0.0957134547667434,0.478796306912408,1,corr_t4speciesAbundance_with_t10Host_weight
Lactobacillus_B salivarius,0.0469983423524316,0.779328659870847,1,corr_t4speciesAbundance_with_t10Host_weight
Lactobacillus_H mucosae,0.0986298059710829,0.469558779121381,1,corr_t4speciesAbundance_with_t10Host_weight
Lactobacillus_H reuteri,-0.100893282771375,0.455208207435167,1,corr_t4speciesAbundance_with_t10Host_weight
Lactobacillus_H sp002299975,0.0310029417526575,0.855461481571095,1,corr_t4speciesAbundance_with_t10Host_weight
Lactobacillus_H vaginalis,0.0109288307536226,0.945235230320158,1,corr_t4speciesAbundance_with_t10Host_weight
Lawsonibacter sp000177015,0.37301576606618,0.021079306055198,1,corr_t4speciesAbundance_with_t10Host_weight
Lawsonibacter sp002161175,-0.200365205556725,0.511603860023508,1,corr_t4speciesAbundance_with_t10Host_weight
Libanicoccus massiliensis,-0.273700726698837,0.22992781742408,1,corr_t4speciesAbundance_with_t10Host_weight
Marvinbryantia sp900066075,-0.263579003172922,0.0475827703459443,1,corr_t4speciesAbundance_with_t10Host_weight
Megasphaera elsdenii,0.233746682559087,0.0801211188684806,1,corr_t4speciesAbundance_with_t10Host_weight
Methanobrevibacter_A gottschalkii,-0.194865023115853,0.194373843346399,1,corr_t4speciesAbundance_with_t10Host_weight
Methanobrevibacter_A smithii,-0.137622191557955,0.307314503480875,1,corr_t4speciesAbundance_with_t10Host_weight
Methanomethylophilus alvus,0.365455834368712,0.135872804253848,1,corr_t4speciesAbundance_with_t10Host_weight
Mitsuokella jalaludinii,-0.037020846841126,0.794431183415877,1,corr_t4speciesAbundance_with_t10Host_weight
Mitsuokella multacida,0.181017142475772,0.290725425480914,1,corr_t4speciesAbundance_with_t10Host_weight
Mogibacterium sp002299625,-0.00957914933235718,0.943620336316489,1,corr_t4speciesAbundance_with_t10Host_weight
Mogibacterium sp900315485,0.0259801118687991,0.918496562007176,1,corr_t4speciesAbundance_with_t10Host_weight
Mogibacterium sp900315625,-0.259514398789817,0.210300972062478,1,corr_t4speciesAbundance_with_t10Host_weight
OEMS01 sp900199405,-0.0650752851666976,0.636907464230562,1,corr_t4speciesAbundance_with_t10Host_weight
Olsenella_B sp900111695,0.0813835657033511,0.718818015631849,1,corr_t4speciesAbundance_with_t10Host_weight
