species,phylum,enzyme_class,genes_per_genome,distinct_enzymes
Anaerosporobacter mobilis,Firmicutes,GT,3.5,6
Anaerostipes hadrus_A,Firmicutes,GT,1.42857142857143,7
Anaerostipes sp001940315,Firmicutes,GT,14.4545454545455,11
Anaerotignum sp000436415,Firmicutes,GT,9.875,8
Anaerotruncus rubiinfantis,Firmicutes,GT,1,1
Anaerotruncus sp900199635,Firmicutes,GT,2.6,5
Anaerovibrio lipolyticus,Firmicutes,GT,19.7692307692308,13
Anaerovibrio sp000622005,Firmicutes,GT,25.4285714285714,14
Anaerovibrio sp002100115,Firmicutes,GT,129.3125,16
Angelakisella massiliensis,Firmicutes,GT,3,7
Angelakisella sp003453215,Firmicutes,GT,97.4,15
Azobacteroides pseudotrichonymphae_A,Bacteroidota,GT,1.75,4
Bacillus subtilis,Firmicutes,GT,7.90909090909091,11
Bacillus_A cereus_AQ,Firmicutes,GT,1,1
Bacillus_A thuringiensis,Firmicutes,GT,1,2
Bacillus_A thuringiensis_J,Firmicutes,GT,1,1
Bacillus_A wiedmannii,Firmicutes,GT,1,1
Bacteroides bouchesdurhonensis,Bacteroidota,GT,3,2
Bacteroides congonensis,Bacteroidota,GT,1.5,4
Bacteroides eggerthii,Bacteroidota,GT,9,21
Bacteroides faecichinchillae,Bacteroidota,GT,26.6666666666667,15
Bacteroides faecis,Bacteroidota,GT,1,4
Bacteroides fluxus,Bacteroidota,GT,13.4210526315789,19
Bacteroides fragilis,Bacteroidota,GT,96.3103448275862,29
Bacteroides heparinolyticus,Bacteroidota,GT,19.7333333333333,15
Bacteroides massiliensis,Bacteroidota,GT,30,19
Bacteroides ndongoniae,Bacteroidota,GT,2.28571428571429,14
Bacteroides ovatus,Bacteroidota,GT,4,12
Bacteroides pyogenes,Bacteroidota,GT,41.3181818181818,22
Bacteroides salyersiae,Bacteroidota,GT,1,1
Bacteroides thetaiotaomicron,Bacteroidota,GT,21.0416666666667,24
Bacteroides togonis,Bacteroidota,GT,7.6,20
Bacteroides uniformis,Bacteroidota,GT,21.4545454545455,22
Bacteroides xylanisolvens,Bacteroidota,GT,3.92307692307692,13
Bacteroides_A barnesiae,Bacteroidota,GT,2.41666666666667,12
Bacteroides_A coprocola,Bacteroidota,GT,1.9375,16
Bacteroides_A coprophilus,Bacteroidota,GT,4.61538461538462,13
Bacteroides_A plebeius_A,Bacteroidota,GT,2.28571428571429,14
Bacteroides_A sp000434735,Bacteroidota,GT,4.23076923076923,13
Bacteroides_A sp002161565,Bacteroidota,GT,1,2
Bacteroides_A sp900066445,Bacteroidota,GT,2.66666666666667,3
Bacteroides_B dorei,Bacteroidota,GT,2.27272727272727,11
Bacteroides_B massiliensis,Bacteroidota,GT,3.11111111111111,18
Bacteroides_B sartorii,Bacteroidota,GT,1,1
Bacteroides_B vulgatus,Bacteroidota,GT,151.5625,32
Bacteroides_F pectinophilus,Firmicutes,GT,8.23076923076923,13
Bariatricus massiliensis,Firmicutes,GT,2,1
Bifidobacterium adolescentis,Actinobacteriota,GT,1.66666666666667,3
Bifidobacterium angulatum,Actinobacteriota,GT,2,3
Bifidobacterium animalis,Actinobacteriota,GT,68.2307692307692,13
Bifidobacterium bifidum,Actinobacteriota,GT,1.83333333333333,6
Bifidobacterium boum,Actinobacteriota,GT,100.083333333333,12
Bifidobacterium breve,Actinobacteriota,GT,3,5
Bifidobacterium choerinum,Actinobacteriota,GT,24.6666666666667,12
Bifidobacterium gallinarum,Actinobacteriota,GT,1.83333333333333,6
Bifidobacterium minimum,Actinobacteriota,GT,5,4
Bifidobacterium pseudolongum,Actinobacteriota,GT,92.1111111111111,9
Bifidobacterium pseudolongum_A,Actinobacteriota,GT,5.66666666666667,9
Bifidobacterium thermacidophilum,Actinobacteriota,GT,104.133333333333,15
Bilophila wadsworthia,Other Phyla,GT,20.1666666666667,18
Bittarella massiliensis,Firmicutes,GT,1.25,4
Blautia hansenii,Firmicutes,GT,12.2,5
Blautia sp000432195,Firmicutes,GT,6.5,14
Blautia sp000436935,Firmicutes,GT,46.4285714285714,14
Blautia sp001304935,Firmicutes,GT,2.66666666666667,3
Blautia sp900120295,Firmicutes,GT,4.25,8
Blautia_A hydrogenotrophica,Firmicutes,GT,5.71428571428571,7
Blautia_A massiliensis,Firmicutes,GT,123.666666666667,27
Blautia_A obeum,Firmicutes,GT,145.541666666667,24
Blautia_A obeum_B,Firmicutes,GT,7.42857142857143,7
Blautia_A schinkii,Firmicutes,GT,15.25,8
Blautia_A sp000285855,Firmicutes,GT,108,19
Blautia_A sp000433815,Firmicutes,GT,85.3333333333333,9
Blautia_A sp000436615,Firmicutes,GT,4,6
Blautia_A sp002159835,Firmicutes,GT,1.33333333333333,6
Blautia_A sp900066145,Firmicutes,GT,6,9
Blautia_A sp900066165,Firmicutes,GT,96.8333333333333,18
Blautia_A sp900066205,Firmicutes,GT,126,16
Blautia_A sp900066335,Firmicutes,GT,6,7
Blautia_A sp900066355,Firmicutes,GT,57,18
Blautia_A sp900066505,Firmicutes,GT,51.85,20
Blautia_A sp900120195,Firmicutes,GT,9.9,10
Blautia_A sp900316115,Firmicutes,GT,14,6
Blautia_A wexlerae,Firmicutes,GT,358.48275862069,29
Burkholderia ubonensis,Proteobacteria,GT,2.28571428571429,7
Butyricicoccus pullicaecorum,Firmicutes,GT,17.4,10
Butyricicoccus_A porcorum,Firmicutes,GT,112.157894736842,19
Butyricicoccus_A sp002395695,Firmicutes,GT,180.222222222222,9
Butyricimonas virosa,Bacteroidota,GT,30.3684210526316,19
Butyrivibrio fibrisolvens_C,Firmicutes,GT,14.2666666666667,15
Butyrivibrio hungatei,Firmicutes,GT,2.5,4
Butyrivibrio hungatei_B,Firmicutes,GT,3.16666666666667,6
Butyrivibrio proteoclasticus,Firmicutes,GT,1,2
Butyrivibrio sp000420845,Firmicutes,GT,3,6
Butyrivibrio sp000420865,Firmicutes,GT,1.16666666666667,6
Butyrivibrio sp000421405,Firmicutes,GT,2.5,8
Butyrivibrio sp000424265,Firmicutes,GT,2,4
Butyrivibrio sp000424545,Firmicutes,GT,1.4,5
Butyrivibrio sp000424585,Firmicutes,GT,5.92307692307692,13
Butyrivibrio sp000526935,Firmicutes,GT,1.5,4
Butyrivibrio sp002372465,Firmicutes,GT,1,1
Butyrivibrio sp900102515,Firmicutes,GT,3.28571428571429,7
Butyrivibrio sp900112195,Firmicutes,GT,1.5,4
Butyrivibrio_A crossotus,Firmicutes,GT,18.2307692307692,13
Butyrivibrio_A sp000431815,Firmicutes,GT,18,8
C941 sp002314465,Bacteroidota,GT,1,1
C941 sp002353885,Bacteroidota,GT,3,11
C941 sp002476625,Bacteroidota,GT,233.857142857143,14
C941 sp900314215,Bacteroidota,GT,4.63636363636364,11
C941 sp900318065,Bacteroidota,GT,3.18181818181818,11
C941 sp900318345,Bacteroidota,GT,1,1
C941 sp900318865,Bacteroidota,GT,3.44444444444444,9
C941 sp900321725,Bacteroidota,GT,84.35,20
Caecibacter massiliensis,Firmicutes,GT,1.57142857142857,7
CAG-1000 sp000434555,Firmicutes,GT,126.941176470588,17
CAG-1000 sp000436975,Firmicutes,GT,72.3333333333333,21
CAG-1024 sp000432015,Firmicutes,GT,166.266666666667,15
CAG-103 sp000432375,Firmicutes,GT,97.9375,16
CAG-103 sp900316745,Firmicutes,GT,9.2,10
CAG-103 sp900317855,Firmicutes,GT,121.470588235294,17
CAG-103 sp900317905,Firmicutes,GT,1.25,8
CAG-1031 sp000431215,Bacteroidota,GT,81.6,15
CAG-110 sp000434635,Firmicutes,GT,57.8235294117647,17
CAG-110 sp000435995,Firmicutes,GT,10.2857142857143,7
CAG-110 sp002362145,Firmicutes,GT,246.625,16
CAG-110 sp002362625,Firmicutes,GT,20.1538461538462,13
CAG-110 sp002372735,Firmicutes,GT,6.57142857142857,7
CAG-110 sp002436765,Firmicutes,GT,9.1,10
CAG-110 sp002437585,Firmicutes,GT,620.590909090909,22
CAG-110 sp002493965,Firmicutes,GT,99.875,16
CAG-110 sp003525905,Firmicutes,GT,119.166666666667,18
CAG-110 sp900315595,Firmicutes,GT,17.1,10
CAG-110 sp900316335,Firmicutes,GT,2.42857142857143,7
CAG-1138 sp000434675,Firmicutes,GT,12.6363636363636,11
CAG-115 sp000432175,Firmicutes,GT,1,1
CAG-115 sp002304735,Firmicutes,GT,10.5714285714286,7
CAG-115 sp002425305,Firmicutes,GT,4.625,8
CAG-115 sp002492075,Firmicutes,GT,5,8
CAG-115 sp003507295,Firmicutes,GT,2.57142857142857,7
CAG-115 sp003516865,Firmicutes,GT,2.83333333333333,6
CAG-115 sp003531585,Firmicutes,GT,11.2222222222222,9
CAG-1193 sp000436255,Firmicutes,GT,73.9090909090909,11
CAG-127 sp002404515,Firmicutes,GT,3.66666666666667,9
CAG-127 sp002431865,Firmicutes,GT,3.125,8
CAG-127 sp002476495,Firmicutes,GT,7.14285714285714,7
CAG-127 sp002493625,Firmicutes,GT,2.83333333333333,6
CAG-127 sp900319515,Firmicutes,GT,31.1666666666667,12
CAG-1427 sp000431675,Actinobacteriota,GT,9,4
CAG-1427 sp000434775,Actinobacteriota,GT,1,1
CAG-1427 sp000435675,Actinobacteriota,GT,1,1
CAG-1427 sp000436075,Actinobacteriota,GT,9.16666666666667,6
CAG-1435 sp000433775,Firmicutes,GT,2.125,8
CAG-1435 sp003537755,Firmicutes,GT,2.625,8
CAG-145 sp000435615,Firmicutes,GT,31.0769230769231,13
CAG-145 sp002320005,Firmicutes,GT,66.7647058823529,17
CAG-145 sp002439735,Firmicutes,GT,10,4
CAG-170 sp000432135,Firmicutes,GT,48.25,16
CAG-170 sp000436735,Firmicutes,GT,48.2666666666667,15
CAG-170 sp002298695,Firmicutes,GT,54.1111111111111,9
CAG-170 sp002404795,Firmicutes,GT,119.933333333333,15
CAG-170 sp003516765,Firmicutes,GT,65.1666666666667,18
CAG-177 sp000431775,Firmicutes,GT,51.3846153846154,13
CAG-177 sp002309055,Firmicutes,GT,1,3
CAG-177 sp002315935,Firmicutes,GT,2,8
CAG-177 sp002438685,Firmicutes,GT,1.33333333333333,3
CAG-177 sp002451755,Firmicutes,GT,2.75,8
CAG-177 sp003514385,Firmicutes,GT,176.944444444444,18
CAG-177 sp003538135,Firmicutes,GT,16.375,8
CAG-1782 sp002349735,Firmicutes,GT,8.875,8
CAG-180 sp000432435,Firmicutes,GT,8.46666666666667,15
CAG-180 sp002361875,Firmicutes,GT,13.5,6
CAG-180 sp002490425,Firmicutes,GT,30.6666666666667,9
CAG-180 sp002490525,Firmicutes,GT,131.777777777778,9
CAG-180 sp900315985,Firmicutes,GT,8.54545454545455,11
CAG-194 sp000432915,Firmicutes,GT,21.25,20
CAG-196 sp002102975,Other Phyla,GT,49.3333333333333,21
CAG-196 sp002309875,Other Phyla,GT,1,3
CAG-217 sp000436335,Firmicutes,GT,48.4666666666667,15
CAG-245 sp000434195,Firmicutes,GT,12.4,10
CAG-245 sp000435175,Firmicutes,GT,163.433333333333,30
CAG-267 sp001917135,Proteobacteria,GT,2.66666666666667,9
CAG-267 sp002353835,Proteobacteria,GT,11.5,2
CAG-269 sp000431335,Firmicutes,GT,187.730769230769,26
CAG-269 sp000435535,Firmicutes,GT,7.88888888888889,9
CAG-269 sp000437215,Firmicutes,GT,14.4166666666667,12
CAG-269 sp000438255,Firmicutes,GT,14.9333333333333,15
CAG-269 sp001915995,Firmicutes,GT,9.46666666666667,15
CAG-269 sp001916005,Firmicutes,GT,47.5454545454546,22
CAG-269 sp001916035,Firmicutes,GT,29.8,15
CAG-269 sp001916055,Firmicutes,GT,188.4,30
CAG-269 sp001916065,Firmicutes,GT,156.96,25
CAG-269 sp002372935,Firmicutes,GT,37.5384615384615,13
CAG-269 sp003518755,Firmicutes,GT,21.4285714285714,14
CAG-269 sp003525075,Firmicutes,GT,123.870967741936,31
CAG-272 sp000433515,Firmicutes,GT,20.7727272727273,22
CAG-273 sp000435755,Firmicutes,GT,5,8
CAG-273 sp000437855,Firmicutes,GT,23.6666666666667,15
CAG-273 sp000438355,Firmicutes,GT,4.55555555555556,9
CAG-273 sp003507395,Firmicutes,GT,79.4,25
CAG-273 sp003534295,Firmicutes,GT,91.9230769230769,13
CAG-279 sp000437795,Bacteroidota,GT,140.590909090909,22
CAG-288 sp000437395,Firmicutes,GT,5.71428571428571,7
CAG-302 sp000431795,Firmicutes,GT,55.3333333333333,24
CAG-302 sp001916775,Firmicutes,GT,127.052631578947,19
CAG-302 sp002375205,Firmicutes,GT,11.25,8
CAG-303 sp000437755,Firmicutes,GT,3,1
CAG-306 sp000980375,Other Phyla,GT,1,3
CAG-313 sp003539625,Firmicutes,GT,7.88888888888889,9
CAG-349 sp001940895,Firmicutes,GT,2.71428571428571,7
CAG-349 sp003539515,Firmicutes,GT,36.4375,16
CAG-353 sp900066885,Firmicutes,GT,4.25,8
CAG-354 sp001915925,Firmicutes,GT,1,1
CAG-390 sp000437015,Firmicutes,GT,4.83333333333333,6
CAG-390 sp003523225,Firmicutes,GT,82,15
CAG-41 sp001941225,Firmicutes,GT,11.6666666666667,9
CAG-41 sp900066215,Firmicutes,GT,16.3333333333333,12
CAG-417 sp000432835,Firmicutes,GT,20.6470588235294,17
CAG-417 sp002477275,Firmicutes,GT,18.7857142857143,14
CAG-433 sp000433675,Firmicutes,GT,54.88,25
CAG-448 sp000433415,Firmicutes,GT,1.44444444444444,9
CAG-448 sp002315325,Firmicutes,GT,1,5
CAG-448 sp003150135,Firmicutes,GT,12.375,8
CAG-45 sp000438375,Firmicutes,GT,1.5,2
CAG-45 sp002299665,Firmicutes,GT,235.115384615385,26
CAG-45 sp900066395,Firmicutes,GT,3,5
CAG-45 sp900315735,Firmicutes,GT,14.1875,16
CAG-451 sp000438295,Firmicutes,GT,54.9473684210526,19
CAG-452 sp000434035,Firmicutes,GT,82.6923076923077,26
CAG-460 sp000437315,Firmicutes,GT,59.6666666666667,21
CAG-460 sp000437355,Firmicutes,GT,12.4545454545455,11
CAG-460 sp000438075,Firmicutes,GT,9.2,10
CAG-460 sp002439555,Firmicutes,GT,8.88888888888889,9
CAG-465 sp000433135,Firmicutes,GT,25.4166666666667,12
CAG-465 sp000433335,Firmicutes,GT,6,7
CAG-465 sp000433755,Firmicutes,GT,21.9411764705882,17
CAG-475 sp000434435,Firmicutes,GT,5.78571428571429,14
CAG-475 sp002449145,Firmicutes,GT,1.2,5
CAG-475 sp002476605,Firmicutes,GT,6,6
CAG-484 sp900321895,Other Phyla,GT,15.8461538461538,13
CAG-485 sp000437495,Bacteroidota,GT,73.5263157894737,19
CAG-485 sp001701295,Bacteroidota,GT,37.4285714285714,14
CAG-485 sp002361155,Bacteroidota,GT,58.5,14
CAG-485 sp002361235,Bacteroidota,GT,3.42857142857143,14
CAG-485 sp002491165,Bacteroidota,GT,19.7777777777778,18
CAG-485 sp002493515,Bacteroidota,GT,2.46153846153846,13
CAG-485 sp900321585,Bacteroidota,GT,39.5833333333333,24
CAG-488 sp000434055,Firmicutes,GT,136.5,14
CAG-488 sp000434915,Firmicutes,GT,6.875,8
CAG-488 sp002449395,Firmicutes,GT,131,9
CAG-488 sp003486665,Firmicutes,GT,4,6
CAG-492 sp000434335,Firmicutes,GT,34.6923076923077,13
CAG-492 sp002633185,Firmicutes,GT,5.5,10
CAG-495 sp000432275,Proteobacteria,GT,1.33333333333333,9
CAG-495 sp001917125,Proteobacteria,GT,11.7142857142857,14
CAG-510 sp000434615,Firmicutes,GT,29.9166666666667,12
CAG-510 sp002432425,Firmicutes,GT,10.1,10
CAG-521 sp000437635,Proteobacteria,GT,1.14285714285714,7
CAG-533 sp000434495,Firmicutes,GT,64.5555555555556,18
CAG-533 sp002438065,Firmicutes,GT,78,19
CAG-533 sp003150195,Firmicutes,GT,4.25,8
CAG-536 sp000434355,Firmicutes,GT,3.375,8
CAG-536 sp900314505,Firmicutes,GT,59.3157894736842,19
CAG-552 sp000435495,Firmicutes,GT,2.875,8
CAG-557 sp000435275,Firmicutes,GT,13.7,10
CAG-56 sp002361955,Firmicutes,GT,38,8
CAG-56 sp900066615,Firmicutes,GT,41.1818181818182,11
CAG-568 sp000434395,Firmicutes,GT,9.2,5
CAG-582 sp000435515,Firmicutes,GT,12,8
CAG-590 sp000431135,Firmicutes,GT,5.5,8
CAG-590 sp003530125,Firmicutes,GT,4.45454545454545,11
CAG-594 sp000434835,Firmicutes,GT,112.681818181818,22
CAG-603 sp900066105,Firmicutes,GT,12.9230769230769,13
CAG-603 sp900110975,Firmicutes,GT,1.75,4
CAG-603 sp900314525,Firmicutes,GT,20.3157894736842,19
CAG-603 sp900314555,Firmicutes,GT,5.2,5
CAG-603 sp900315425,Firmicutes,GT,1.42857142857143,7
CAG-605 sp000433255,Firmicutes,GT,54.5294117647059,17
CAG-605 sp000433475,Firmicutes,GT,97.875,16
CAG-611 sp000434175,Firmicutes,GT,48.1,10
CAG-628 sp000438415,Firmicutes,GT,2,4
CAG-628 sp003524085,Firmicutes,GT,24.1,10
CAG-631 sp000433015,Firmicutes,GT,1.8,5
CAG-632 sp000431515,Firmicutes,GT,3.14285714285714,7
CAG-698 sp000431235,Firmicutes,GT,4.5,2
CAG-710 sp000432595,Firmicutes,GT,49.3846153846154,26
CAG-724 sp003524145,Firmicutes,GT,30.8888888888889,18
CAG-762 sp000432575,Firmicutes,GT,37.6923076923077,13
CAG-791 sp000431495,Firmicutes,GT,215.35,20
CAG-791 sp002395235,Firmicutes,GT,3.66666666666667,3
CAG-791 sp900315055,Firmicutes,GT,3.4,5
CAG-791 sp900317475,Firmicutes,GT,1.2,5
CAG-791 sp900317555,Firmicutes,GT,4.25,4
CAG-791 sp900318875,Firmicutes,GT,28,12
CAG-791 sp900320025,Firmicutes,GT,11.1818181818182,11
CAG-793 sp000433915,Firmicutes,GT,2.8,5
CAG-793 sp002393975,Firmicutes,GT,2.25,4
CAG-81 sp000435795,Firmicutes,GT,3.71428571428571,7
CAG-81 sp900066055,Firmicutes,GT,3.4,5
CAG-81 sp900066535,Firmicutes,GT,5.72727272727273,11
CAG-81 sp900066785,Firmicutes,GT,3,7
CAG-822 sp000432855,Firmicutes,GT,14,7
CAG-83 sp000431575,Firmicutes,GT,49.4666666666667,15
CAG-83 sp000435555,Firmicutes,GT,22.0434782608696,23
CAG-83 sp000435975,Firmicutes,GT,24.2857142857143,21
CAG-83 sp001916855,Firmicutes,GT,30.8571428571429,21
CAG-83 sp002438575,Firmicutes,GT,1.875,8
CAG-83 sp003487665,Firmicutes,GT,146,23
CAG-83 sp003539495,Firmicutes,GT,34.8235294117647,17
CAG-83 sp900313295,Firmicutes,GT,51.55,20
CAG-83 sp900317425,Firmicutes,GT,1.2,5
CAG-831 sp000432775,Bacteroidota,GT,1.8,10
CAG-841 sp000437375,Firmicutes,GT,25.1818181818182,11
CAG-841 sp002405565,Firmicutes,GT,21.1,10
CAG-841 sp002479075,Firmicutes,GT,13.25,12
CAG-873 sp001689415,Bacteroidota,GT,2.83333333333333,12
CAG-873 sp001689665,Bacteroidota,GT,27.9333333333333,15
CAG-873 sp001701165,Bacteroidota,GT,52.48,25
CAG-873 sp002493945,Bacteroidota,GT,67.6111111111111,18
CAG-873 sp002633115,Bacteroidota,GT,5.41666666666667,12
CAG-877 sp000433455,Firmicutes,GT,189.0625,16
CAG-878 sp000432255,Firmicutes,GT,16.875,8
CAG-882 sp003486385,Firmicutes,GT,6.83333333333333,12
CAG-884 sp000433875,Firmicutes,GT,37.15,20
CAG-914 sp000437895,Firmicutes,GT,96.3478260869565,23
CAG-95 sp000403495,Firmicutes,GT,46.375,16
CAG-95 sp000436115,Firmicutes,GT,107.380952380952,21
CAG-95 sp000438155,Firmicutes,GT,17.3076923076923,13
CAG-95 sp002492465,Firmicutes,GT,6.14285714285714,14
CAG-95 sp900066375,Firmicutes,GT,42.5294117647059,17
CAG-964 sp000435335,Firmicutes,GT,8,9
CAG-964_A sp002493755,Firmicutes,GT,32.5833333333333,12
CAG-988 sp003149915,Firmicutes,GT,9.55555555555556,9
Campylobacter hyointestinalis_A,Other Phyla,GT,27.4444444444444,9
Campylobacter lanienae,Other Phyla,GT,3,10
Campylobacter sp002139915,Other Phyla,GT,78.6666666666667,12
Campylobacter_D coli,Other Phyla,GT,9.46666666666667,15
Catenibacterium mitsuokai,Firmicutes,GT,100.5,18
Catenibacterium sp000437715,Firmicutes,GT,3.11111111111111,9
Cellvibrio mixtus,Proteobacteria,GT,1,1
Chlamydia suis,Other Phyla,GT,61.5,10
Chlamydia trachomatis,Other Phyla,GT,1.33333333333333,3
Christensenella massiliensis,Firmicutes,GT,3.77777777777778,9
Christensenella minuta,Firmicutes,GT,8.125,8
Christensenella sp001678845,Firmicutes,GT,1,1
Chryseobacterium formosense,Bacteroidota,GT,2.33333333333333,3
Chryseobacterium limigenitum,Bacteroidota,GT,3,1
Chryseobacterium sp000737715,Bacteroidota,GT,1,1
Chryseobacterium sp000799195,Bacteroidota,GT,2.5,2
Chryseobacterium sp001556235,Bacteroidota,GT,4,1
Cloacibacillus evryensis,Other Phyla,GT,3.58333333333333,12
Cloacibacillus porcorum,Other Phyla,GT,60.6,15
Clostridioides difficile,Firmicutes,GT,2.33333333333333,3
Clostridium baratii,Firmicutes,GT,15.5,18
Clostridium beijerinckii,Firmicutes,GT,11,1
Clostridium botulinum_A,Firmicutes,GT,1,1
Clostridium botulinum_B,Firmicutes,GT,2,1
Clostridium butyricum,Firmicutes,GT,3,7
Clostridium celatum,Firmicutes,GT,18.1538461538462,13
Clostridium chauvoei,Firmicutes,GT,1.5,2
Clostridium disporicum,Firmicutes,GT,35.952380952381,21
Clostridium nigeriense,Firmicutes,GT,3.66666666666667,9
Clostridium saccharoperbutylacetonicum,Firmicutes,GT,1.5,2
Clostridium saudiense,Firmicutes,GT,14.4666666666667,15
Clostridium sp000435835,Firmicutes,GT,232.357142857143,28
Clostridium sp001916075,Firmicutes,GT,5.14285714285714,7
Clostridium sp003539755,Firmicutes,GT,3.85714285714286,7
Clostridium sp900317445,Firmicutes,GT,29.3076923076923,13
Clostridium thermobutyricum,Firmicutes,GT,5.66666666666667,9
Clostridium_A leptum,Firmicutes,GT,7.72727272727273,11
Clostridium_AI polysaccharolyticum,Firmicutes,GT,22,1
Clostridium_AI sp002297865,Firmicutes,GT,24.6666666666667,21
Clostridium_E jeddahense,Firmicutes,GT,1.33333333333333,6
Clostridium_E sporosphaeroides,Firmicutes,GT,6,2
Clostridium_F botulinum,Firmicutes,GT,3,2
Clostridium_J sulfidigenes,Firmicutes,GT,1,1
Clostridium_M bolteae,Firmicutes,GT,5.7,10
Clostridium_M citroniae,Firmicutes,GT,5.85714285714286,7
Clostridium_M clostridioforme,Firmicutes,GT,49.5666666666667,30
Clostridium_M clostridioforme_A,Firmicutes,GT,8.63636363636364,11
Clostridium_M sp000155435,Firmicutes,GT,13.4444444444444,9
Clostridium_M sp001304855,Firmicutes,GT,37,8
Clostridium_M sp001517625,Firmicutes,GT,3.42857142857143,7
Clostridium_P perfringens,Firmicutes,GT,69.2857142857143,21
Clostridium_P ventriculi,Firmicutes,GT,120.823529411765,17
Clostridium_Q saccharolyticum,Firmicutes,GT,8.88235294117647,17
Clostridium_Q sp003024715,Firmicutes,GT,17.2307692307692,13
Clostridium_Q symbiosum,Firmicutes,GT,23.1428571428571,14
Clostridium_T intestinale,Firmicutes,GT,1,2
COE1 sp000403215,Firmicutes,GT,1,3
COE1 sp001916965,Firmicutes,GT,53.0952380952381,21
COE1 sp002490665,Firmicutes,GT,2.4,5
Collinsella aerofaciens,Actinobacteriota,GT,89,2
Collinsella aerofaciens_E,Actinobacteriota,GT,18.2857142857143,7
Collinsella aerofaciens_F,Actinobacteriota,GT,28.1428571428571,7
Collinsella bouchesdurhonensis,Actinobacteriota,GT,42.9444444444444,18
Collinsella intestinalis,Actinobacteriota,GT,2.5,2
Collinsella sp000763055,Actinobacteriota,GT,5,8
Collinsella sp002232035,Actinobacteriota,GT,2,2
Collinsella sp002391315,Actinobacteriota,GT,78.421052631579,19
Collinsella stercoris,Actinobacteriota,GT,1,1
Collinsella vaginalis,Actinobacteriota,GT,4.16666666666667,6
Comamonas kerstersii,Proteobacteria,GT,10.9166666666667,12
Coprococcus eutactus,Firmicutes,GT,3,3
Coprococcus eutactus_A,Firmicutes,GT,8,12
